Series Type,x,y
Cladding O.D. (mils),19.153,230.81
Cladding O.D. (mils),19.227,230.84
Cladding O.D. (mils),19.301,230.84
Cladding O.D. (mils),19.375,230.84
Cladding O.D. (mils),19.505,230.82
Cladding O.D. (mils),19.597,230.83
Cladding O.D. (mils),19.671,230.83
Cladding O.D. (mils),19.764,230.83
Cladding O.D. (mils),19.838,230.84
Cladding O.D. (mils),19.949,230.86
Cladding O.D. (mils),20.023,230.85
Cladding O.D. (mils),20.097,230.88
Cladding O.D. (mils),20.208,230.86
Cladding O.D. (mils),20.245,230.82
Cladding O.D. (mils),20.319000000000003,230.8
Cladding O.D. (mils),20.375,230.74
Cladding O.D. (mils),20.394000000000002,230.7
Cladding O.D. (mils),20.430999999999997,230.66
Cladding O.D. (mils),20.449,230.62
Cladding O.D. (mils),20.486,230.58
Cladding O.D. (mils),20.579,230.56
Cladding O.D. (mils),20.653000000000002,230.55
Cladding O.D. (mils),20.875,230.58
Cladding O.D. (mils),20.968000000000004,230.63
Cladding O.D. (mils),21.005,230.67
Cladding O.D. (mils),21.06,230.73
Cladding O.D. (mils),21.096999999999998,230.81
Cladding O.D. (mils),21.116,230.89
Cladding O.D. (mils),21.208000000000002,230.93
Cladding O.D. (mils),21.281999999999996,230.91
Cladding O.D. (mils),21.338,230.87
Cladding O.D. (mils),21.412,230.83
Cladding O.D. (mils),21.486,230.79
Cladding O.D. (mils),21.56,230.77
Cladding O.D. (mils),21.634,230.77
Cladding O.D. (mils),21.671,230.73
Cladding O.D. (mils),21.745,230.7
Cladding O.D. (mils),21.819000000000003,230.72
Cladding O.D. (mils),21.968000000000004,230.79
Cladding O.D. (mils),22.041999999999998,230.79
Cladding O.D. (mils),22.096999999999998,230.75
Cladding O.D. (mils),22.134,230.71
Cladding O.D. (mils),22.153000000000002,230.67
Cladding O.D. (mils),22.171,230.63
Cladding O.D. (mils),22.208000000000002,230.59
Cladding O.D. (mils),22.245,230.55
Cladding O.D. (mils),22.281999999999996,230.51
Cladding O.D. (mils),22.355999999999998,230.49
Cladding O.D. (mils),22.394000000000002,230.45
Cladding O.D. (mils),22.430999999999997,230.41
Cladding O.D. (mils),22.505,230.38
Cladding O.D. (mils),22.781999999999996,230.4
Cladding O.D. (mils),22.855999999999998,230.41
Cladding O.D. (mils),23.023000000000003,230.41
Cladding O.D. (mils),23.06,230.37
Cladding O.D. (mils),23.208000000000002,230.4
Cladding O.D. (mils),23.301,230.43
Cladding O.D. (mils),23.412,230.47
Cladding O.D. (mils),23.486,230.5
Cladding O.D. (mils),23.596999999999998,230.51
Cladding O.D. (mils),23.69,230.46
Cladding O.D. (mils),23.726999999999997,230.06
Cladding O.D. (mils),23.819000000000003,230.01
