axial,cpi,flaw_index,ki,r,relative_temperature,rpv_id,theta,x,y,z
0.90914010879136,4.0825228864172e-08,208802518,33.111595339831,0.005447419733445,18.72574629511,9811,33.913771183001,1.8278461006552,1.2288994134972,0.90914010879136
3.3552148742426,0.00019663307765849,209695847,61.259495173928,0.00657606,57.753799622254,9853,274.55392824913,0.17496611623965,-2.1967191526422,3.3552148742426
0.90146787492646,6.7338541818174e-06,210049769,59.014656749114,0.0043161037193325,63.195069079548,9870,142.80088079759,-1.7535142492501,1.3309472714543,0.90146787492646
4.0301812345319,3.8232042753883e-08,210482424,47.454157427995,0.0049927128710124,51.856713462802,9890,26.960633413981,1.9627654013195,0.99838083688678,4.0301812345319
0.67076576189948,0.00012823736479795,210719193,52.592995249186,0.00657606,46.615805966885,9901,25.402675052514,1.9906142253293,0.94532702454428,0.67076576189948
2.5265767377558,6.4204685028879e-05,211152811,59.80144131387,0.00657606,59.452452311077,9922,269.48835988722,-0.019678134984903,-2.2035881984665,2.5265767377558
0.95558567647537,4.4445952754879e-06,213217507,43.793790086639,0.00438404,40.048146371639,10019,7.4446943230553,2.1829263924949,0.28524435721674,0.95558567647537
2.3331293997758,6.3354130478421e-06,213463349,41.894745280019,0.00876808,35.200960473631,10030,355.91048439532,2.2002516075543,-0.1573113149694,2.3331293997758
0.23835462169711,0.0029160164989754,216518201,77.16258950914,0.00876808,63.437323627535,10174,351.92514923854,2.1839978004277,-0.30985092236399,0.23835462169711
1.3406186290624,0.00074457123752159,217874805,68.361060181991,0.00876808,60.972877886192,10237,87.17598422712,0.10867963368144,2.2031892164736,1.3406186290624
3.4006082806183,7.3947769223537e-06,218789782,63.718202943992,0.00657606,68.497037430092,10280,333.54866852589,1.9729799360992,-0.98159989260763,3.4006082806183
3.9060603952687,2.8219568441123e-05,220155805,55.075885430242,0.00467255652642,55.173701490293,10345,230.31783315091,-1.4058941163983,-1.6944804879814,3.9060603952687
3.7565702065271,1.3130781839621e-07,222693652,41.092912532887,0.008018415266034,39.142479322574,10464,240.714,-1.0786763427952,-1.9232796397922,3.7565702065271
0.77226047753067,4.9546857883165e-07,222882040,43.939455067198,0.0063538364758693,43.640342787939,10473,7.4687048193472,2.184759750428,0.28641515740269,0.77226047753067
3.4193016542694,0.0047226232576146,228138495,53.749250065924,0.00438404,24.121769347085,10720,174.75574895334,-2.1922688560284,0.20121938590211,3.4193016542694
3.493138328794,2.8467592822823e-05,228145293,40.508039985411,0.00657606,27.403930216605,10720,181.19261405895,-2.2031986883079,-0.045866297600471,3.493138328794
2.03175,2.6570866928921e-07,228608373,43.616816509726,0.0041859462463893,43.658045257373,10742,301.05449353618,1.1355401496067,-1.8857911829715,2.03175
2,8.0620424205424e-06,228613471,52.364380119515,0.0048052426171799,53.873540122771,10742,130.18034526303,-1.4206596561927,1.6822939216235,2
