time,Lambda,rho,beta-0,lambda-0,beta-1,lambda-1,beta-2,lambda-2,beta-3,lambda-3,beta-4,lambda-4,beta-5,lambda-5,n,c-0,c-1,c-2,c-3,c-4,c-5
5.5,0.000940226783027,-2.38170017489e-05,0.000235164933996,0.0133366264133,0.00120079917648,0.0327336917211,0.00115087062633,0.120791293295,0.00257356046455,0.302903066881,0.0010630659378,0.850011218306,0.000445118287396,2.85470288933,0.994385325291,18.7550308915,39.0091003662,10.1224358621,9.01451351676,1.32452174031,0.164959197703
6,0.000940226620303,-2.37876092544e-05,0.000235164933891,0.0133366264133,0.00120079917797,0.0327336917212,0.00115087062771,0.120791293295,0.00257356046809,0.3029030669,0.00106306593894,0.850011218381,0.000445118287322,2.85470288934,0.994012609925,18.7543011431,39.0055387252,10.1196370667,9.01022562205,1.32379576816,0.164890055482
6.5,0.000940226531592,-2.37720256028e-05,0.000235164933764,0.0133366264133,0.00120079917889,0.0327336917213,0.00115087062854,0.120791293295,0.00257356047032,0.302903066917,0.0010630659396,0.850011218432,0.000445118287169,2.85470288935,0.993662611004,18.7535310804,39.0018054113,10.1167871639,9.00608052817,1.32315464999,0.164828135403
7,0.000940226470374,-2.3761487834e-05,0.000235164933643,0.0133366264133,0.00120079917958,0.0327336917215,0.00115087062916,0.120791293296,0.00257356047199,0.302903066931,0.00106306594007,0.850011218466,0.00044511828701,2.85470288935,0.99332878267,18.7527234831,38.9979159706,10.1139010979,9.00208364884,1.32257817335,0.164770383978
7.5,0.00094022642261,-2.37533646701e-05,0.000235164933534,0.0133366264133,0.00120079918015,0.0327336917216,0.00115087062967,0.120791293296,0.00257356047335,0.302903066943,0.00106306594045,0.85001121849,0.000445118286862,2.85470288934,0.993007850755,18.7518804451,38.9938823085,10.1109897674,8.99823289411,1.32205071654,0.164715446998
8,0.000940226382669,-2.37466129896e-05,0.000235164933436,0.0133366264133,0.00120079918064,0.0327336917218,0.0011508706301,0.120791293297,0.00257356047451,0.302903066954,0.00106306594076,0.850011218506,0.000445118286728,2.85470288934,0.992697739661,18.7510036882,38.9897143182,10.1080617299,8.99452283953,1.32156076505,0.164662657375
8.5,0.00094022634808,-2.37407797593e-05,0.000235164933349,0.0133366264134,0.00120079918106,0.0327336917219,0.00115087063047,0.120791293297,0.00257356047552,0.302903066963,0.00106306594104,0.850011218517,0.000445118286608,2.85470288934,0.992396999816,18.7500946969,38.9854205843,10.1051239664,8.99094653098,1.32109996687,0.164611636302
9,0.000940226317505,-2.37356262852e-05,0.000235164933271,0.0133366264134,0.00120079918144,0.032733691722,0.0011508706308,0.120791293297,0.00257356047641,0.302903066971,0.00106306594128,0.850011218525,0.0004451182865,2.85470288934,0.992104539439,18.7491547857,38.9810087375,10.1021822854,8.98749636323,1.3206622751,0.164562136111
9.5,0.000940226290117,-2.3731006931e-05,0.000235164933201,0.0133366264134,0.00120079918178,0.0327336917221,0.00115087063109,0.120791293298,0.0025735604772,0.302903066977,0.00106306594149,0.85001121853,0.000445118286403,2.85470288934,0.991819498348,18.7481851378,38.9764856637,10.0992415736,8.98416455882,1.3202432889,0.164513977266
10,0.000940226265348,-2.37268232669e-05,0.000235164933138,0.0133366264134,0.00120079918209,0.0327336917223,0.00115087063136,0.120791293298,0.00257356047792,0.302903066983,0.00106306594168,0.850011218534,0.000445118286315,2.85470288934,0.991541177415,18.7471868316,38.9718576433,10.0963059685,8.98094344478,1.31983977433,0.164467020679
