time,condenser_boundary_integral,evaporator_boundary_integral,heat_pipe:T_avg_wick_ann,heat_pipe:condenser_pool_length,heat_pipe:initial_T_avg_wick_ann,heat_pipe:mass_flow_rate,heat_pipe:mass_total,heat_pipe:mass_vapor,heat_pipe:power_evap,heat_pipe:refill,heat_pipe:rho_liquid_solid_avg,heat_pipe:startup_front,refill,heat_pipe:mass_evap
-38531.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-37712.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-36892.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-36073.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-35254.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-34435.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-33616.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-32796.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-31977.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-31158.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-30339.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-29520.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-28700.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-27881.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-27062.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-26243.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-25424.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-24604.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-23785.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-22966.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-22147.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-21328.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-20508.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-19689.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-18870.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-18051.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-17232.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-16412.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-15593.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-14774.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-13955.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-13136.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-12316.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-11497.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-10678.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-9859.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-9040.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-8220.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-7401.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-6582.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-5763.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-4944.1,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-4124.9,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-3305.7,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-2486.5,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-1667.3,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
-848.10000000004,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
0,0,0,900,0.23272645680752,900,0,0.22634442283086,9.1510719462318e-06,-2.4629954185704e-10,1,801.7043439394,3,1,0.11329294616461
