time,IPyC_stress,OPyC_stress,SiC_stress,actual_strength_SiC_crackedIPyC,ave_gas_temp,buffer_void_volume,failure_indicator_IPyC,failure_indicator_SiC,failure_indicator_SiC_crackedIPyC,failure_indicator_kernel_migration,failure_indicator_pd_penetration,fis_gas_released,fluence_at_failure,frate_value,gap_volume,gas_pressure,initial_moles,ipyc_cracking,kernel_migration_distance,kernel_th_density,kernel_void_volume,kernel_volume,max_burnup,max_fluence,particle_power,pd_penetration,pres_ipyc_avg,pres_ipyc_max,pres_ipyc_min,pres_opyc_avg,pres_opyc_max,pres_opyc_min,pres_sic_avg,pres_sic_max,pres_sic_min,sic_failure_due_to_ipyc_cracking,sic_failure_due_to_pressure,sic_failure_overall,strain_ipyc,strain_opyc,strain_sic,strength_IPyC,strength_OPyC,strength_SiC,stress_SiC_crackedIPyC,weibull_failure_probability_IPyC,weibull_failure_probability_SiC
100000000,41466246.488496,29837734.810729,-103944900.08155,1318314765.4479,837.27023022998,4.6342584204866e-11,0,0,0,0,0,-5.2885972003836e-23,0,-0,7.6258216887891e-13,-6.7551746835961e-09,0,0,4.9868335669779e-14,11212.648688763,1.5210043484189e-12,-4.0831955150316e-11,-7.3106818174781e-15,7.2808e+23,-2.472674014433e-15,5.1525886098704e-08,29943451.0492,30500526.369309,29315478.525223,18507094.23145,18908379.968629,18064578.271051,-66550568.496083,-66550161.432868,-66550916.18721,0,0,0,0.0009164403373188,0.00077106192383677,0.0027045226781893,202367399.2474,194369227.86764,718052315.92781,127676949.74228,4.7168182737423e-07,2.2040147484859e-12
110000000,45830600.435304,32939634.754565,-113037755.63488,1318314765.4479,837.27023022998,4.6213673085742e-11,0,0,0,0,0,-5.8460819372587e-23,0,-0,8.9537826101387e-13,-7.5507098798446e-09,0,0,5.511333088717e-14,11212.648688763,1.5203165491548e-12,-4.0831221131842e-11,-8.081451757931e-15,8.0472e+23,-2.472629564237e-15,5.7315232954838e-08,33145785.54497,33722648.437573,32495577.932609,20551000.137601,20966703.738752,20092616.019874,-72314560.639247,-72314077.810136,-72314973.044206,0,0,0,0.00067337380879898,0.00052873891904721,0.0027103495760521,202857551.43497,194760276.23788,717198601.08131,138827877.10817,1.2295354678837e-06,4.1211478674086e-12
120000000,50126491.398454,35975744.624387,-121960093.45979,1318314765.4479,837.27023022998,4.6084779525779e-11,0,0,0,0,0,-6.4035452558182e-23,0,-0,1.0284282331568e-12,-8.3460590608453e-09,0,0,6.035832610456e-14,11212.648688763,1.5196722505356e-12,-4.0830533332578e-11,-8.8522083059409e-15,8.8136e+23,-2.4725879129529e-15,6.3104579810972e-08,36298042.128719,36894127.190729,35626246.143477,22551672.012066,22981382.713756,22077876.3412,-77969620.012848,-77969056.534064,-77970101.302809,0,0,0,0.00042724805388732,0.00028439855836507,0.0027160729183179,203289231.17385,195109300.39714,716471754.40378,149769416.18479,2.8934043601048e-06,7.203126983768e-12
130000000,54354679.927834,38947271.295984,-130714456.23996,1318314765.4479,837.27023022998,4.595593173833e-11,0,0,0,0,0,-6.9609890864753e-23,0,-0,1.1617011810859e-12,-9.1412118535164e-09,0,0,6.560332132195e-14,11212.648688763,1.5190688932137e-12,-4.0829889033959e-11,-9.622952306726e-15,9.58e+23,-2.4725488959514e-15,6.8893926667106e-08,39400769.885952,40015522.491452,38708019.962923,24509901.785896,24953217.304822,24021141.707942,-83517392.036108,-83516743.350982,-83517946.102815,0,0,0,0.0001781171091934,3.8088625943492e-05,0.0027216941066341,203677691.6723,195427323.31213,715843877.58329,160504696.41693,6.2607100810297e-06,1.1914358388765e-11
140000000,58515920.264006,41855400.278811,-139303352.26251,1318314765.4479,837.27023022998,4.5827156273097e-11,0,0,0,0,0,-7.5184152137247e-23,0,-0,1.2951677782708e-12,-9.9361579138647e-09,0,0,7.0848316539341e-14,11212.648688763,1.5185040679353e-12,-4.0829285676637e-11,-1.0393684555781e-14,1.03464e+24,-2.4725123582454e-15,7.468327352324e-08,42454513.509672,43087389.694352,41741431.924092,26426467.332244,26882993.745346,25923180.666231,-88959499.464878,-88958761.331061,-88960129.931593,0,0,0,-7.3965555985976e-05,-0.00021014387080689,0.0027272145264024,204033291.09007,195721812.2225,715294640.14292,171036804.76941,1.2629485128923e-05,1.8821944003378e-11
150000000,62610960.355946,44701296.053413,-147729255.7812,1318314765.4479,837.27023022998,4.5698478113046e-11,0,0,0,0,0,-8.0758252866231e-23,0,-0,1.4288001870005e-12,-1.0730886944946e-08,0,0,7.6093311756731e-14,11212.648688763,1.5179755068845e-12,-4.0828720851359e-11,-1.1164405801791e-14,1.11128e+24,-2.472478153937e-15,8.0472620379374e-08,45459813.309914,46110279.654162,44727010.299892,28302132.691026,28771484.315378,27784748.060587,-94297542.637769,-94296711.1148,-94298252.869911,0,0,0,-0.00032894703523228,-0.00046025268826683,0.0027326355469051,204363309.70389,195998005.07201,714808907.41421,181368786.17819,2.4006380776376e-05,2.8600677381974e-11
160000000,66640541.879151,47486102.404692,-155994607.37843,1318314765.4479,837.27023022998,4.556992076553e-11,0,0,0,0,0,-8.6332208285556e-23,0,-0,1.5625719748105e-12,-1.1525388713136e-08,0,0,8.1338306974121e-14,11212.648688763,1.517481075525e-12,-4.0828192290308e-11,-1.1935116749379e-14,1.18792e+24,-2.4724461456932e-15,8.6261967235509e-08,48417205.223575,49084738.734309,47665279.114887,30137648.290677,30619447.563224,29606585.256027,-99533099.721411,-99532171.158655,-99533892.836825,0,0,0,-0.00058677498057743,-0.00071219233385903,0.0027379585214332,204673013.75013,196259684.48969,714375195.66909,191503644.00084,4.3360635970435e-05,4.2036041314475e-11
170000000,70605400.254122,50210942.751036,-164101814.32734,1318314765.4479,837.27023022998,4.5441506347768e-11,0,0,0,0,0,-9.1906032463379e-23,0,-0,1.6964580360709e-12,-1.2319653062934e-08,0,0,8.6583302191512e-14,11212.648688763,1.5170187649252e-12,-4.0827697858948e-11,-1.2705818061694e-14,1.26456e+24,-2.4724162042522e-15,9.2051314091643e-08,51327220.82453,52011308.815894,50556758.157302,31933751.16706,32427628.524337,31389420.357214,-104667726.95538,-104666697.98041,-104668605.83427,0,0,0,-0.00084739759808299,-0.00096591805349604,0.0027431847874139,204966306.65743,196509650.29779,713984641.81015,201444340.4656,7.4923546082073e-05,6.0025207027081e-11
180000000,74506264.665275,52876920.469342,-172053250.95229,1318314765.4479,837.27023022998,4.5313255668172e-11,0,0,0,0,0,-9.7479738386838e-23,0,-0,1.830434517345e-12,-1.311366993071e-08,0,0,9.1828297408902e-14,11212.648688763,1.5165866844701e-12,-4.0827235548348e-11,-1.3476510362848e-14,1.3412e+24,-2.4723882079586e-15,9.7840660947777e-08,54190387.334029,54890527.307056,53401962.991172,33691165.179523,34196758.937425,33133968.424645,-109702958.89614,-109701826.40348,-109703926.19071,0,0,0,-0.001110763643427,-0.0012213858192245,0.0027483156665398,205246142.99566,196750019.17521,713630300.51523,211193797.1197,0.00012453071050567,8.3575479870035e-11
190000000,78343858.080241,55485119.215979,-179851258.98879,1318314765.4479,837.27023022998,4.5185188302146e-11,0,0,0,0,0,-1.0305333804099e-22,0,-0,1.9644787478105e-12,-1.3907429356837e-08,0,0,9.7073292626292e-14,11212.648688763,1.5161830550313e-12,-4.0826803467893e-11,-1.4247194240219e-14,1.41784e+24,-2.4723620423216e-15,1.0363000780391e-07,57007227.631417,57722927.152765,56201404.968685,35410601.22412,35927557.457814,34840931.687905,-114640308.66034,-114639069.80063,-114641366.80406,0,0,0,-0.001376822417499,-0.0014785523170632,0.0027533524648975,205514800.21413,196982420.99362,713306654.61617,220754895.27604,0.00020000206859017,1.1380196784927e-10
200000000,82118897.269594,58036603.243686,-187498147.94213,1318314765.4479,837.27023022998,4.5057322664211e-11,0,0,0,0,0,-1.0862684248218e-22,0,-0,2.0985691730258e-12,-1.4700921497058e-08,0,0,1.0231828784368e-13,11212.648688763,1.5158062024832e-12,-4.0826399838455e-11,-1.5017870246611e-14,1.49448e+24,-2.4723375996022e-15,1.0941935466005e-07,59778260.265124,60509036.844991,58955591.242628,37092757.444062,37620729.86814,36510999.75601,-119481268.16725,-119479920.3366,-119482419.38389,0,0,0,-0.0016455237620038,-0.0017373749350314,0.0027582964730971,205774062.07048,197208131.12958,713009267.39264,230130476.45877,0.0003115525412456,1.519225856228e-10
210000000,85832092.826934,60532417.71443,-194996195.44499,1318314765.4479,837.27023022998,4.4929676075162e-11,0,0,0,0,0,-1.1420026190644e-22,0,-0,2.2326852932369e-12,-1.5494136632379e-08,0,0,1.0756328306107e-13,11212.648688763,1.5154545516301e-12,-4.0826022985906e-11,-1.5788538902296e-14,1.57112e+24,-2.4723147784196e-15,1.1520870151618e-07,62503999.463985,63249380.433282,61665024.779094,38738319.437353,39276969.286281,38144849.824893,-124227308.3802,-124225849.21013,-124228554.69248,0,0,0,-0.0019168180550747,-0.0019978117513664,0.0027631489664019,206025345.50696,197428161.85208,712734531.2799,239323342.84707,0.00047222404583147,1.9925172622948e-10
220000000,89484149.189426,62973589.008272,-202347647.61352,1318314765.4479,837.27023022998,4.4802264826269e-11,0,0,0,0,0,-1.1977360571298e-22,0,-0,2.3668076043718e-12,-1.6287065178449e-08,0,0,1.1280827827846e-13,11212.648688763,1.5151266204238e-12,-4.0825671335053e-11,-1.6559200696936e-14,1.64776e+24,-2.4722934833843e-15,1.2099804837231e-07,65184955.148836,65944477.535736,64330204.370271,40347960.46171,40896956.370662,39743146.882023,-128879879.54708,-128878306.89463,-128881222.78509,0,0,0,-0.0021906562068966,-0.0022598215229271,0.0027679112048584,206269790.31835,197643326.82814,712479483.3324,248336257.71744,0.00069832778811796,2.5719271157243e-10
230000000,93075764.658708,65361125.028271,-209554719.40236,1318314765.4479,837.27023022998,4.4675104238812e-11,0,0,0,0,0,-1.2534688256335e-22,0,-0,2.5009175433044e-12,-1.7079697693453e-08,0,0,1.1805327349585e-13,11212.648688763,1.5148210145623e-12,-4.0825343403847e-11,-1.7329856091391e-14,1.7244e+24,-2.4722736247474e-15,1.2678739522845e-07,67821632.944434,68594843.350385,66951624.647449,41922341.636721,42481359.522874,41306543.90821,-133440411.43988,-133438723.37805,-133441853.24925,0,0,0,-0.002466989655339,-0.0025233636737811,0.0027725844334264,206508323.74717,197854287.53986,712241667.6986,257171945.88424,0.0010098840824692,3.2722891063486e-10
240000000,96607631.422247,67696015.5014,-216619594.95789,1318314765.4479,837.27023022998,4.4548208720812e-11,0,0,0,0,0,-1.3092010043636e-22,0,-0,2.6349974356691e-12,-1.7872024885636e-08,0,0,1.2329826871324e-13,11212.648688763,1.5145364223576e-12,-4.0825037797986e-11,-1.8100505519424e-14,1.80104e+24,-2.4722551180736e-15,1.3257674208458e-07,70414534.191675,71200988.666955,69529776.094259,43462112.143295,44030835.087641,42835682.076629,-137910313.59288,-137908508.40153,-137911855.44254,0,0,0,-0.0027457703615999,-0.0027883982839741,0.0027771698821099,206741707.8203,198061587.26606,712019031.77146,265833094.1381,0.0014310455220519,4.1091352542821e-10
250000000,100080435.57503,69979232.275566,-223544427.97024,1318314765.4479,837.27023022998,4.4421591819985e-11,0,0,0,0,0,-1.3649326667925e-22,0,-0,2.7690304471275e-12,-1.8664037619639e-08,0,0,1.2854326393063e-13,11212.648688763,1.5142716099226e-12,-4.0824753205781e-11,-1.8871149389308e-14,1.87768e+24,-2.4722378839308e-15,1.3836608894072e-07,72964155.960125,73763419.879016,72065145.060032,44967909.42045,45546027.550179,44331190.949053,-142290975.54003,-142289051.69695,-142292618.7299,0,0,0,-0.0030269508058619,-0.0030548860784772,0.0027816687660869,206970574.57665,198265676.34888,711809846.78136,274322351.68286,0.001990488120185,5.0985926591807e-10
260000000,103494857.14172,72211729.612736,-230331342.02326,1318314765.4479,837.27023022998,4.4295266273847e-11,0,0,0,0,0,-1.4206638805508e-22,0,-0,2.90300053723e-12,-1.9455726922343e-08,0,0,1.3378825914802e-13,11212.648688763,1.5140254166177e-12,-4.0824488393346e-11,-1.9641788085332e-14,1.95432e+24,-2.4722218475978e-15,1.4415543579685e-07,75470991.06085,76282638.996552,74558213.77339,46440359.359399,47027569.730958,45793688.669377,-146583767.05076,-146581723.22307,-146585512.71904,0,0,0,-0.0033104839829587,-0.0033227884163125,0.0027860822858409,207195452.65155,198466931.24578,711612646.40376,282642330.56972,0.0027217540775295,6.2572602654853e-10
270000000,106851570.09919,74394444.47818,-236982430.94348,1318314765.4479,837.27023022998,4.4169244056892e-11,0,0,0,0,0,-1.4763947078692e-22,0,-0,3.0368924159499e-12,-2.0247083987917e-08,0,0,1.3903325436542e-13,11212.648688763,1.5137967507577e-12,-4.0824242200041e-11,-2.0412421969229e-14,2.03096e+24,-2.4722069387896e-15,1.4994478265298e-07,77935528.059563,78759143.658882,77009460.356057,47880076.49503,48476082.977842,47223782.154398,-150790038.36494,-150787873.40087,-150791887.49514,0,0,0,-0.0035963233980551,-0.0035920672798515,0.0027904116272909,207416787.59451,198665669.08013,711426178.79106,290795606.13021,0.0036635291102504,7.6020956196743e-10
280000000,110151242.39947,76528296.825892,-243499759.14633,1318314765.4479,837.27023022998,4.4043536424835e-11,0,0,0,0,0,-1.5321252059872e-22,0,-0,3.1706915028938e-12,-2.1038100182168e-08,0,0,1.4427824958281e-13,11212.648688763,1.5135845855733e-12,-4.0824013534181e-11,-2.1183051381516e-14,2.1076e+24,-2.4721930913966e-15,1.5573412950912e-07,80358251.290079,81193427.147998,79419358.836834,49287664.19474,49892177.355706,48622067.281928,-154911120.4261,-154908833.34689,-154913073.85397,0,0,0,-0.0038844230623393,-0.0038626852642875,0.0027946579619228,207634957.57849,198862158.88387,711249368.73385,298784717.40578,0.0048598368270062,9.1502860843917e-10
290000000,113394535.99306,78614189.880174,-249885361.98155,1318314765.4479,837.27023022998,4.3918153956174e-11,0,0,0,0,0,-1.5878554275349e-22,0,-0,3.3043838889666e-12,-2.1828767046297e-08,0,0,1.495232448002e-13,11212.648688763,1.5133879554098e-12,-4.0823801368997e-11,-2.1953676642751e-14,2.18424e+24,-2.4721802432404e-15,1.6152347636525e-07,82739640.868052,83585978.402254,81788379.16577,50663714.844694,51276451.833478,49989129.076279,-158948325.11369,-158945915.1059,-158950383.53376,0,0,0,-0.0041747374887285,-0.0041346055672764,0.0027988224469198,207850285.67562,199056630.37781,711081287.54737,306612167.57602,0.0063601325102309,1.0919124493469e-09
300000000,116582106.85265,80653010.413492,-256141246.0758,1318314765.4479,837.27023022998,4.3793106591759e-11,0,0,0,0,0,-1.6435854208843e-22,0,-0,3.4379562998343e-12,-2.261907630035e-08,0,0,1.5476824001759e-13,11212.648688763,1.5132059521166e-12,-4.0823604738833e-11,-2.2724298054722e-14,2.26088e+24,-2.4721683358435e-15,1.6731282322139e-07,85080172.705067,85937282.030449,84116987.228629,52008810.033499,52629494.468679,51325541.891048,-162902945.47367,-162900411.88177,-162905109.44563,0,0,0,-0.0044672216875879,-0.0044077919787461,0.0028029062252931,208063049.54403,199249280.89619,710921128.90273,314280424.38388,0.0082192789016672,1.2925884806947e-09
310000000,119714604.99726,82645629.020515,-262269389.67409,1318314765.4479,837.27023022998,4.3668403671601e-11,0,0,0,0,0,-1.699315230478e-22,0,-0,3.5713960619211e-12,-2.3409019845752e-08,0,0,1.6001323523498e-13,11212.648688763,1.5130377216699e-12,-4.082342273554e-11,-2.3494915901568e-14,2.33752e+24,-2.4721573142108e-15,1.7310217007752e-07,87380318.522983,88247818.326301,86405644.861456,53323520.733339,53951882.589425,52631869.589376,-166776255.94791,-166773598.26699,-166778525.90281,0,0,0,-0.0047618311624646,-0.0046822088708712,0.0028069104260128,208273489.14121,199440280.89793,710768189.28257,321791920.55879,0.010497387294199,1.5187689994534e-09
315576000,121444269.03135,83742538.212982,-265646662.15913,1318314765.4479,837.27023022998,4.3599001909312e-11,0,0,0,0,0,-1.7303900127981e-22,0,-0,3.6457347706142e-12,-2.4227808318061e-08,0,0,1.6293784456819e-13,11212.648688763,1.512947991403e-12,-4.0823254505093e-11,-2.3924609814269e-14,2.380254464e+24,-2.4721471266248e-15,1.763303098845e-07,88650382.8372,89523560.775808,87669435.065303,54047280.131681,54679841.253052,53351044.990399,-168910698.77908,-168907971.43343,-168913028.23371,0,0,0,-0.0049267592700732,-0.0048356008138614,0.0028091183429598,208389894.39305,199546131.73568,710685882.02466,325931514.22655,0.011979700322533,1.6571347627448e-09
