time,External_Reactivity,Power,Power_Delta,Power_Normalized,Total_Reactivity,Total_Reactivity_Dollars,Total_Reactivity_Feedback,ch2_Coolant_Density_Reactivity,dnp_den,fml1_diff_flux,fml2_diff_flux,fml3_diff_flux,fml4_diff_flux,fml5_diff_flux,fml6_diff_flux,mdot,moderator_moderator_Reactivity
1.8,0.00019,5622577.3356887,0.62257733568866,1.1245154671377,0.00016768154339231,-0.0078817658940765,-2.2318456607689e-05,-2.2220012695529e-05,23.46991308259,0.18966680070094,0.63694728475442,0.37790988362459,0.15490970170207,0.0032811843997535,0.00087614279809631,170.94688088255,-9.8443912160961e-08
1.9,0.00019,5628466.5948059,0.62846659480589,1.1256933189612,0.00016616259096146,-0.008453960836246,-2.3837409038538e-05,-2.37266898655e-05,23.47810646718,0.18976392824522,0.63726190445562,0.37813135760112,0.1550920477348,0.0032919681550853,0.00087787684718312,170.94680031794,-1.1071917303818e-07
2,0.00019,5634041.9085451,0.63404190854508,1.126808381709,0.00016463667256024,-0.0090293216055068,-2.5363327439756e-05,-2.5239577326364e-05,23.486324699554,0.1898621308588,0.63758029128493,0.37835411375258,0.15527326914823,0.0033022038681431,0.00087946462885805,170.94671307012,-1.2375011339272e-07
2.1,0.00019,5639331.7350462,0.63933173504625,1.1278663470092,0.00016310513497066,-0.0096073209999077,-2.6894865029339e-05,-2.6757330916449e-05,23.494560424624,0.1899609823726,0.63790093478585,0.37857700943497,0.15545239622796,0.00331187481899,0.00088092042610026,170.94662067638,-1.3753411289008e-07
2.2,0.00019,5644359.3308078,0.64435933080779,1.1288718661616,0.00016156928799894,-0.01018744887475,-2.8430712001058e-05,-2.827864107724e-05,23.502806506829,0.19006010073456,0.63822249596458,0.3787990615709,0.15562863410988,0.0033209777806596,0.00088225769541219,170.94652457251,-1.5207092381869e-07
2.3,0.00019,5649144.1572553,0.64914415725529,1.1298288314511,0.00016003041587618,-0.01076920909131,-2.9969584123823e-05,-2.9802224052133e-05,23.511055981398,0.19015913026946,0.63854374346589,0.37901939967257,0.15580132539075,0.0033295200845387,0.00088348892341374,170.94642610612,-1.6736007169005e-07
2.4,0.00019,5653702.8693757,0.65370286937574,1.1307405738751,0.00015848978343045,-0.011352115198418,-3.1510216569546e-05,-3.1326816105459e-05,23.519302022205,0.19025773051503,0.63886351351496,0.37923723389858,0.15596992058614,0.0033375168773373,0.00088462552282146,170.94632655093,-1.8340046408633e-07
2.5,0.00019,5658050.0164311,0.65805001643106,1.1316100032862,0.00015694863958337,-0.011935688094525,-3.3051360416626e-05,-3.2851170017612e-05,23.527537921098,0.19035557467104,0.63918069998244,0.37945184133457,0.15613395926507,0.0033449887920246,0.00088567778470811,170.94622710617,-2.0019039901481e-07
2.6,0.00019,5662198.5437554,0.66219854375541,1.1324397087511,0.00015540821916996,-0.012519454703268,-3.459178083004e-05,-3.4374053256292e-05,23.535757075244,0.19045235572468,0.63949427151045,0.3796625695245,0.15629306186439,0.003351960100121,0.000886654883851,170.94612889892,-2.1772757374805e-07
2.7,0.00019,5666160.1560244,0.66616015602441,1.1332320312049,0.00015386974342764,-0.013102947284106,-3.6130256572363e-05,-3.5894247480406e-05,23.543952983022,0.19054780033332,0.63980331295091,0.37986885457428,0.15644693066768,0.0033584573274359,0.00088756492690846,170.94603298037,-2.3600909195703e-07
2.8,0.00019,5669945.582812,0.66994558281199,1.1339891165624,0.00015233441946186,-0.013685703247107,-3.7665580538145e-05,-3.7410549065586e-05,23.552119243833,0.19064168748181,0.64010708360767,0.38007024964466,0.15659535744696,0.0033645082602057,0.00088841502941282,170.94594032227,-2.5503147255829e-07
2.9,0.00019,5673564.7742502,0.67356477425016,1.13471295485,0.00015080343901219,-0.014267265355358,-3.919656098781e-05,-3.8921770329825e-05,23.560249563499,0.19073387061763,0.64040508634099,0.3802664595652,0.15673823508574,0.0033701412571674,0.00088921140958632,170.94585181353,-2.7479065798502e-07
3,0.00019,5677027.0459865,0.67702704598652,1.1354054091973,0.00014927797657537,-0.014847182192352,-4.072202342463e-05,-4.042674140059e-05,23.568337763186,0.19082430105662,0.6406971407098,0.38045737740555,0.15687557058684,0.0033753847813888,0.0008899594888363,170.94576825318,-2.9528202404039e-07
3.1,0.00019,5680341.1866644,0.68034118666442,1.1360682373329,0.00014775918703408,-0.015425008872966,-4.2240812965916e-05,-4.192431257527e-05,23.576377791256,0.19091305061465,0.64098345381071,0.38064311923152,0.15700749718027,0.0033802670772958,0.00089066399131966,170.94569034505,-3.1650039064579e-07
3.2,0.00019,5683515.5372711,0.68351553727114,1.1367031074542,0.00014624820297577,-0.016000307941635,-4.3751797024233e-05,-4.3413356990207e-05,23.584363736293,0.19100033207317,0.64126468398661,0.38082405412071,0.15713428378712,0.003384815936367,0.00089132903788468,170.94561869435,-3.3844003402561e-07
3.3,0.00019,5686558.0491365,0.68655804913655,1.1373116098273,0.00014474613170818,-0.016572650387967,-4.5253868291815e-05,-4.4892773590932e-05,23.592289843025,0.19108651660224,0.64154199364578,0.38100082713427,0.1572563405973,0.0033890585140139,0.00089195823200053,170.94555380219,-3.6109470088336e-07
