time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
26.83289197686,661.90193536012,882.22861923907,1117.0543961568,882.16166439438,1117.0363202051,672.33202688692,1.1984882199606e-10,9830514.8976687,0.85630661989171,0.88688899917355,233935000,1116.9762367157,0.092376226543482,1.9519173914591e+18,1169859.7973266,11000374.694995
27.719780976033,662.04430585233,882.34674283546,1117.0870149827,882.28564127261,1117.0705529793,672.36751156535,1.1984882199606e-10,9675932.6374288,0.88688899917355,0.9185636062869,233935000,1117.0158190327,0.090529331458875,1.9519173914591e+18,1117847.9712386,10793780.608667
28.63834458232,662.04427322074,882.34641467894,1117.0868964669,882.28531574556,1117.0704345388,672.36743681198,1.1984882199606e-10,9627080.5496648,0.9185636062869,0.95136944936857,233935000,1117.0157056516,0.089556567810525,1.9519173914591e+18,1068975.2762004,10696055.825865
29.589714031689,662.19415478993,882.47145636221,1117.1216196048,882.4155588146,1117.106584181,672.40456614324,1.1984882199606e-10,9481605.3509006,0.95136944936857,0.98534692970316,233935000,1117.0565829769,0.08784718361393,1.9519173914591e+18,1022576.9434713,10504182.294372
30.575060961392,662.19412071935,882.47112537868,1117.1215002606,882.41523035391,1117.1064649125,672.40449069672,1.1984882199606e-10,9435652.2280092,0.98534692970316,1.0290494712456,233935000,1117.0564687984,0.086956362039774,1.9519173914591e+18,978703.17576963,10414355.403779
31.604110432637,662.3614058152,882.60379120818,1117.1584271417,882.55259763948,1117.1446753475,672.44356300161,1.1984882199606e-10,9298102.4786764,1.0290494712456,1.0810323826796,233935000,1117.0989306024,0.085357776862447,1.9519173914591e+18,936445.93175108,10234548.410427
32.685142815317,662.36136966644,882.60345195009,1117.1583050338,882.55226082583,1117.1445533152,672.44348565619,1.1984882199606e-10,9254543.1841636,1.0810323826796,1.1356412350005,233935000,1117.0988138261,0.084523129556566,1.9519173914591e+18,895740.13621583,10150283.320379
33.820784050317,662.55456547039,882.74712767354,1117.1982581079,882.70031861283,1117.1856982706,672.48558089857,1.1984882199606e-10,9121891.1135515,1.1356412350005,1.1930086788305,233935000,1117.1439008664,0.082993886669398,1.9519173914591e+18,856155.06565742,9978046.1792089
35.013792729148,662.5545252868,882.74676643833,1117.1981283189,882.69995979343,1117.1855685585,672.48549844503,1.1984882199606e-10,9079834.1499057,1.1930086788305,1.2532740656992,233935000,1117.1437767195,0.082200147141057,1.9519173914591e+18,817922.03061382,9897756.1805195
36.267066794847,662.74366281734,882.90269188847,1117.2413404205,882.86000659995,1117.2298982233,672.53101621273,1.1984882199606e-10,8951808.2137614,1.2532740656992,1.3165837865438,233935000,1117.1918012028,0.080733779412775,1.9519173914591e+18,780634.78597433,9732442.9997358
37.583650581391,662.74361791699,882.90230751818,1117.2412026176,882.85962461167,1117.2297604983,672.53092842159,1.1984882199606e-10,8911208.3552267,1.3165837865438,1.3830916273074,233935000,1117.1916693993,0.079976840098637,1.9519173914591e+18,744552.06589704,9655760.4211238
38.966742208698,662.91203456549,883.0713204694,1117.2878518377,883.03253102859,1117.2774629098,672.58010406159,1.1984882199606e-10,8787530.3423732,1.3830916273074,1.4529591425013,233935000,1117.2428520616,0.078568028562777,1.9519173914591e+18,709288.23933162,9496818.5817048
40.4197013512,662.91198501769,883.07091114941,1117.2877054369,883.03212404826,1117.2773165874,672.58001042235,1.1984882199606e-10,8748254.2894921,1.4529591425013,1.5263560476379,233935000,1117.2427119201,0.077844168037943,1.9519173914591e+18,675125.14220682,9423379.431699
41.946057398837,663.07474914024,883.25390347294,1117.3379991974,883.21880514184,1117.3286062072,672.63310478577,1.1984882199606e-10,8628389.7555098,1.5263560476379,1.6034606314877,233935000,1117.2972902435,0.076486571616371,1.9519173914591e+18,641693.83787474,9270083.5933845
43.549518030325,663.07469413144,883.25346619072,1117.3378431845,883.2183701472,1117.3284502725,672.63300451504,1.1984882199606e-10,8590228.7917856,1.6034606314877,1.6844601891608,233935000,1117.2971406697,0.07579235337228,1.9519173914591e+18,609294.16578444,9199522.95757
45.233978219486,663.24433259613,883.45144777641,1117.3920028353,883.41985127947,1117.3835531742,672.69032776556,1.1984882199606e-10,8473439.4659126,1.6844601891608,1.7695514770668,233935000,1117.3553559686,0.074478815513104,1.9519173914591e+18,577570.64623456,9051010.1121471
47.003529696553,663.24427146101,883.45097811231,1117.3918356884,883.41938384064,1117.3833861048,672.69021981193,1.1984882199606e-10,8436130.493046,1.7695514770668,1.8589411908568,233935000,1117.3551954356,0.073811064231917,1.9519173914591e+18,546836.5518558,8982967.0449018
