time,ext_side_integral,flux_uo_avg,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_end_heat_integral,hp_heat_integral,mirror_side_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power,tb_integral,total_sink
48,185.31622525648,6905.1407313931,871.71089185241,895.98426558608,843.52133616465,865.7077317944,-854.98946738436,180683.47696764,-5886.8796590361,871.18942568837,892.99545538538,847.59854185233,869.02769013022,894.66341551571,841.14088382625,196391.27746974,2580.3758619872,176707.29992846
49,186.15136448429,6793.9317029541,871.98059261798,896.16967023864,843.70611653301,866.0357459696,-858.81710256714,178110.18609513,-6059.8320280922,871.47251182411,893.21842927186,847.93388947364,869.32524568437,894.86322954648,841.33488124905,193877.69960946,2619.4050783381,173997.09340729
50,186.95831539842,6684.6933294969,872.24139482464,896.34541485682,843.88455447531,866.35409424933,-862.52946022462,175581.31869337,-6228.5793432816,871.74631894517,893.43110935682,848.16407183759,869.61359551727,895.05319188931,841.52251047929,191406.53052729,2657.4880018297,171334.6562071
51,187.73760519686,6577.3828330043,872.49346073267,896.51170898806,844.05676578571,866.66295102809,-866.12868278969,173095.91778117,-6393.2246100568,872.01102109276,893.63371828826,848.35134676609,869.89290458365,895.23351571529,841.70388772909,188976.84994561,2694.6408668554,168718.94296038
52,188.4897975248,6471.9689391355,872.7369694617,896.66879037113,844.22287747254,866.96250146798,-869.61708137698,170653.29481685,-6553.8593909563,872.2668073447,893.8265029215,848.53199265902,870.16335197011,895.40444081589,841.87913814493,186588.01103321,2730.8790440224,166149.18718606
53,189.21544712063,6368.4210517705,872.97209703225,896.81689179612,844.38301476626,867.25292767287,-872.99692639741,168252.77523341,-6710.5728379069,872.51386338221,894.00970500987,848.70614596584,870.42511377928,895.56620198113,842.04838510255,184239.38034666,2766.2177630982,163624.63867933
54,189.91509692538,6266.7085738479,873.1990151238,896.95623906022,844.53730013629,867.53440780718,-876.27043250679,165893.68293311,-6863.452327257,872.75237034628,894.18355940125,848.87394008434,870.67836205456,895.71902705243,842.21174939033,181930.32190486,2800.6721490842,161144.54741935
55,190.58927816026,6166.8008769072,873.41789110041,897.08705103333,844.68585331019,867.80711611658,-879.43975936151,163575.33969634,-7012.5835068963,872.98250487391,894.34829410883,849.03550538554,870.92326480395,895.86313699221,842.36934923152,179660.19662392,2834.2572138504,158708.1629221
56,191.2385106909,6068.6673561158,873.62888818497,897.20953993916,844.82879138012,868.07122305495,-882.50701397545,161297.06659584,-7158.0502939475,873.20443927059,894.50413056972,849.19096933208,871.1599861501,895.99874615723,842.52130037556,177428.36369787,2866.9878406748,156314.73563928
57,191.86330344618,5972.2775131691,873.83216567997,897.32391174582,844.96622893283,868.32689544335,-885.4742532996,159058.18601375,-7299.9348518919,873.41834172546,894.65128399969,849.3404566253,871.38868652021,896.12606267675,842.66771620816,175234.18270036,2898.8787777267,153963.51898973
