time,Core_P_in,Core_P_out,Core_T_in,Core_T_out,FliBe_mass_flow,FliBe_mass_flow2,Fuel_mass_flow,Gas_mass_flow,HX2_Tin_p,HX2_Tout_p,HX2_Tout_s,HX_Pin_s,HX_Tin_p,HX_Tout_p,HX_Tout_s,HX_Uout_s,MSFR_core_Coolant_Density_Reactivity,Power,Total_Reactivity_Feedback,fml1_MSFR_core_in,fml1_MSFR_core_out,fml1_ss_MSFR_core_in,fml1_ss_MSFR_core_out,fml2_MSFR_core_in,fml2_MSFR_core_out,fml2_ss_MSFR_core_in,fml2_ss_MSFR_core_out,fml3_MSFR_core_in,fml3_MSFR_core_out,fml3_ss_MSFR_core_in,fml3_ss_MSFR_core_out,fml4_MSFR_core_in,fml4_MSFR_core_out,fml4_ss_MSFR_core_in,fml4_ss_MSFR_core_out,fml5_MSFR_core_in,fml5_MSFR_core_out,fml5_ss_MSFR_core_in,fml5_ss_MSFR_core_out,fml6_MSFR_core_in,fml6_MSFR_core_out,fml6_ss_MSFR_core_in,fml6_ss_MSFR_core_out
100,218571.73616937,111916.58193709,951.40096182451,1050.7102992317,-16846.459458148,16846.459466304,18085.754588338,-2571.2279373143,961.93953740074,888.35561910613,897.10519562098,199584.44201121,1050.6922288948,951.72913495512,961.91920768495,-2.407434181479,0,2999999768.7137,0,3267.1494416438,3418.126389061,3267.1494450008,3418.1263920188,11222.279177325,12448.16757525,11222.279188856,12448.167586021,1780.2141387481,2632.80467461,1780.2141405773,2632.8046768882,982.37204053679,2741.3022951488,982.37204154619,2741.3022975209,30.957551510834,693.39802786513,30.957551542643,693.39802846514,-1.3586512636097,56.735901186849,-1.3586512650058,56.735901235944
105,218571.73632347,111916.58198538,951.40095702794,1050.7102948673,-16846.459455998,16846.459462927,18085.754591006,-2571.2279371562,961.93953240366,888.35561524245,897.10519136839,199584.44215811,1050.6922243679,951.72913031755,961.91920283325,-2.4074341783269,0,2999999768.7137,0,3267.1494387908,3418.1263865473,3267.1494416438,3418.126389061,11222.279167526,12448.167566095,11222.279177325,12448.16757525,1780.2141371935,2632.8046726738,1780.2141387481,2632.80467461,982.37203967895,2741.3022931328,982.37204053679,2741.3022951488,30.9575514838,693.39802735519,30.957551510834,693.39802786513,-1.3586512624233,56.735901145125,-1.3586512636097,56.735901186849
108.775,218571.7364673,111916.58206523,951.40095328901,1050.7102924073,-16846.459454605,16846.459460621,18085.754592232,-2571.2279370549,961.93952919161,888.35561273839,897.10518862684,199584.44225408,1050.6922217097,951.72912737543,961.91919975707,-2.4074341763313,0,2999999768.7137,0,3267.1494364125,3418.1263847745,3267.1494387908,3418.1263865473,11222.279159356,12448.167559639,11222.279167526,12448.167566095,1780.2141358976,2632.8046713083,1780.2141371935,2632.8046726738,982.37203896383,2741.302291711,982.37203967895,2741.3022931328,30.957551461265,693.39802699556,30.9575514838,693.39802735519,-1.3586512614343,56.735901115699,-1.3586512624233,56.735901145125
111.625125,218571.73662079,111916.58217693,951.40095015895,1050.7102913233,-16846.459453708,16846.459458902,18085.754591841,-2571.2279369901,961.93952713539,888.35561110313,897.10518684986,199584.44231832,1050.6922203983,951.72912553216,961.91919784787,-2.4074341751066,0,2999999768.7137,0,3267.1531862791,3418.1300988062,3267.1494364125,3418.1263847745,11222.279099236,12448.167447169,11222.279159356,12448.167559639,1780.2140502606,2632.8046450341,1780.2141358976,2632.8046713083,982.37180767707,2741.3022214585,982.37203896383,2741.302291711,30.95736769787,693.39790884085,30.957551461265,693.39802699556,-1.3587777558246,56.735852700928,-1.3586512614343,56.735901115699
113.776969375,218571.73680946,111916.58234454,951.40094689202,1050.7102910292,-16846.45945312,16846.459457536,18085.754590307,-2571.2279369497,961.93952583155,888.35561002454,897.10518570791,199584.44236217,1050.6922199756,951.72912443979,961.91919670766,-2.4074341743799,0,2999999768.7137,0,3267.1567952752,3418.133695097,3267.1531862791,3418.1300988062,11222.279058498,12448.167432877,11222.279099236,12448.167447169,1780.2139904888,2632.8046698554,1780.2140502606,2632.8046450341,982.37163695706,2741.3023012187,982.37180767707,2741.3022214585,30.957226900201,693.39790054095,30.95736769787,693.39790884085,-1.3588753814711,56.73582331165,-1.3587777558246,56.735852700928
115.40161187812,218571.73706995,111916.5826112,951.4009426017,1050.7102915999,-16846.45945271,16846.459456362,18085.754588216,-2571.2279369266,961.93952501247,888.35560929409,897.10518498933,199584.44239339,1050.6922202811,951.72912388993,961.91919609574,-2.407434173983,0,2999999768.7137,0,3267.1596403856,3418.1365495974,3267.1567952752,3418.133695097,11222.278965911,12448.167401418,11222.279058498,12448.167432877,1780.2139118489,2632.8046448275,1780.2139904888,2632.8046698554,982.37139246316,2741.3022341367,982.37163695706,2741.3023012187,30.956988329398,693.39779203357,30.957226900201,693.39790054095,-1.359044257154,56.735769097057,-1.3588753814711,56.73582331165
116.62821696798,218571.73745211,111916.58304232,951.40093599924,1050.7102923495,-16846.459452352,16846.459455272,18085.754586257,-2571.2279369168,961.9395244819,888.35560874044,897.10518455125,199584.44241729,1050.6922211249,951.72912378472,961.91919584694,-2.4074341737783,0,2999999768.7137,0,3267.1617806399,3418.13871394,3267.1596403856,3418.1365495974,11222.278809243,12448.167397967,11222.278965911,12448.167401418,1780.2137863801,2632.8046247345,1780.2139118489,2632.8046448275,982.37098946958,2741.3021086719,982.37139246316,2741.3022341367,30.956575160965,693.39756876388,30.956988329398,693.39779203357,-1.3593391849672,56.735671994671,-1.359044257154,56.735769097057
117.55430381083,218571.73802296,111916.5837356,951.40092502118,1050.7102903815,-16846.459451924,16846.459454247,18085.754585523,-2571.2279369182,961.93952406759,888.35560817449,897.10518429255,199584.44243754,1050.6922219197,951.72912412601,961.91919579246,-2.4074341735869,0,2999999768.7137,0,3267.163368673,3418.1403289573,3267.1617806399,3418.13871394,11222.278559937,12448.167337939,11222.278809243,12448.167397967,1780.2135727057,2632.8045455162,1780.2137863801,2632.8046247345,982.37029557124,2741.3017525684,982.37098946958,2741.3021086719,30.955858272121,693.39710056441,30.956575160965,693.39756876388,-1.3598517312963,56.735498357162,-1.3593391849672,56.735671994671
118.25349937718,218571.73887134,111916.58482709,951.40090625346,1050.7102766106,-16846.459451219,16846.459453402,18085.754587053,-2571.2279369306,961.93952358301,888.35560730449,897.10518413531,199584.44245579,1050.692221445,951.72912507553,961.91919575161,-2.4074341731481,0,2999999768.7137,0,3267.164532577,3418.1415108706,3267.163368673,3418.1403289573,11222.278150814,12448.167025716,11222.278559937,12448.167337939,1780.2132049437,2632.8042391962,1780.2135727057,2632.8045455162,982.36909749915,2741.3007326257,982.37029557124,2741.3017525684,30.954619244515,693.39610767517,30.955858272121,693.39710056441,-1.3607374412931,56.735187960916,-1.3598517312963,56.735498357162
118.78139202977,218571.74010969,111916.58647956,951.40087411793,1050.7102267905,-16846.459449886,16846.45945303,18085.75459026,-2571.2279369557,961.93952282049,888.35560557322,897.10518402033,199584.44247148,1050.6922179166,951.72912712165,961.91919562637,-2.4074341721386,0,2999999768.7137,0,3267.1653619429,3418.1423164237,3267.164532577,3418.1415108706,11222.27746262,12448.165978575,11222.278150814,12448.167025716,1780.2125770492,2632.8033058902,1780.2132049437,2632.8042391962,982.36705103549,2741.2980720271,982.36909749915,2741.3007326257,30.952497696306,693.39402752678,30.954619244515,693.39610767517,-1.3622536870611,56.734635671773,-1.3607374412931,56.735187960916
