time,2Dreceiver_temperature_in,2Dreceiver_temperature_out,2Dreceiver_velocity_in,2Dsource_pressure_in,2Dsource_pressure_out,2Dsource_temperature_in,2Dsource_temperature_out,2Dsource_velocity_in,2Dsource_velocity_out,Tfluid_pebble_avg,Tfluid_pebble_max,Tsolid_brick_avg,Tsolid_brick_max,Tsolid_core_barrel_avg,Tsolid_core_barrel_max,Tsolid_pebble_avg,Tsolid_pebble_max,Tsolid_reflector_avg,Tsolid_reflector_max,Tsolid_rpv_avg,Tsolid_rpv_max,core_pressure_in,core_pressure_out,dpdz_core,mflow_core_in,mflow_core_out,pebble_bed_volume,total_power
-199999.95,523.15,523.15,-2,70970.469218278,0,523.15,494.58788757476,-2,-1.6555128582729,522.95820155372,529.46613870445,523.15000004694,523.15001301649,523.14999801326,523.15000134932,523.23488222472,523.27002861791,523.15063494307,523.49873411375,523.14979101022,523.15015176467,70970.469218278,0,-5105.7891523941,-89.513515717662,77.440020949609,77.754418176347,249999989.06615
-199999.945,523.15,523.15,-2,71012.944569873,0,523.15,513.02189005974,-2,-1.6910947166401,522.96272390271,530.00115773653,523.15000005051,523.15001308313,523.14999777981,523.15000150701,523.24332086994,523.28201384523,523.15070682554,523.51102063968,523.14976642373,523.15016961347,71012.944569873,0,-5108.8449330844,-89.513515717662,77.163376218881,77.754418176347,249999989.06615
-199999.94,523.15,523.15,-2,71025.180732346,0,523.15,525.60184000818,-2,-1.7221858259668,522.97143341913,530.46617864149,523.15000005399,523.15001308689,523.1499975464,523.15000166463,523.25175780055,523.29399656224,523.15077853335,523.52041749406,523.14974183698,523.15018746141,71025.180732346,0,-5109.7252325429,-89.513515717662,76.734417664891,77.754418176347,249999989.06615
-199999.935,523.15,523.15,-2,71114.873068651,0,523.15,533.73793481386,-2,-1.7545523218511,522.98383486367,530.85645077654,523.1500000574,523.15001304852,523.14999731304,523.15000182216,523.26019470588,523.30597689993,523.15084996283,523.52740148011,523.14971725016,523.15020530838,71114.873068651,0,-5116.177918608,-89.513515717662,77.010083371353,77.754418176347,249999989.06615
-199999.93,523.15,523.15,-2,71188.104922339,0,523.15,538.55029487269,-2,-1.7835095556097,522.9994008941,531.16923520088,523.15000006075,523.15001298343,523.14999707972,523.1500019796,523.2686331084,523.317954982,523.15092105808,523.53238696201,523.14969266332,523.15022315431,71188.104922339,0,-5121.4463972906,-89.513515717662,77.579727814915,77.754418176347,249999989.06615
-199999.925,523.15,523.15,-2,72603.376290495,0,523.15,540.94334009127,-2,-1.9115778217875,523.01751318137,531.40471925689,523.15000006406,523.15001290064,523.14999684645,523.15000213695,523.27707394244,523.32993092523,523.15099183574,523.53577442935,523.14966807648,523.1502409992,72603.376290495,0,-5223.2644813306,-89.513515717662,82.786988224224,77.754418176347,249999989.06615
-199999.92,523.15,523.15,-2,72684.482456753,0,523.15,541.52824085138,-2,-1.9893863493021,523.03765307265,531.5634798642,523.15000006733,523.1500128089,523.14999661322,523.15000229422,523.28551850136,523.34190483976,523.15106227454,523.53781284231,523.14964348966,523.15025884305,72684.482456753,0,-5229.0994573204,-89.513515717662,86.068233313247,77.754418176347,249999989.06615
-199999.915,523.15,523.15,-2,72599.096440359,0,523.15,540.84431946457,-2,-2.0064116906699,523.05936260345,531.64730462137,523.15000007058,523.15001271603,523.14999638004,523.1500024514,523.29396786811,523.35387682938,523.15113236266,523.53874124824,523.14961890285,523.15027668584,72599.096440359,0,-5222.9565784431,-89.513515717662,86.909140485946,77.754418176347,249999989.06615
-199999.91,523.15,523.15,-2,72656.866814379,0,523.15,539.34765683509,-2,-2.015680722135,523.08217308001,531.65928768609,523.15000007381,523.15001262709,523.14999614691,523.15000260848,523.302422826,523.36584699188,523.15120212597,523.53881095399,523.14959431605,523.15029452759,72656.866814379,0,-5227.1127204589,-89.513515717662,87.547464998658,77.754418176347,249999989.06615
-199999.905,523.15,523.15,-2,72750.913082541,0,523.15,537.38998351676,-2,-2.026074108204,523.10563741758,531.6037128395,523.15000007703,523.15001254499,523.14999591382,523.15000276549,523.3108838783,523.37781541921,523.1512716081,523.53825196986,523.14956972927,523.15031236828,72750.913082541,0,-5233.8786390317,-89.513515717662,88.322989075309,77.754418176347,249999989.06615
-199999.9,523.15,523.15,-2,72777.462132357,0,523.15,535.23173959225,-2,-2.0323588638668,523.12934187759,531.4857734645,523.15000008024,523.15001247136,523.14999568078,523.1500029224,523.31935134818,523.38978219784,523.15134085797,523.53726159816,523.14954514251,523.15033020793,72777.462132357,0,-5235.7886426156,-89.513515717662,88.955381273006,77.754418176347,249999989.06615
