id,vel_x,vel_y,x,y,z
1.44,-0.039392670173388,0.029085047395861,1.005,1.44,0
1.45,-0.03553740550612,0.029145374169424,1.005,1.45,0
1.46,-0.031534106449393,0.029173033131823,1.005,1.46,0
1.47,-0.027379535107339,0.029167110938931,1.005,1.47,0
1.48,-0.023070370230564,0.029126758320439,1.005,1.48,0
1.49,-0.018603204898551,0.029051196524302,1.005,1.49,0
1.5,-0.013974544718121,0.028939724182077,1.005,1.5,0
1.51,-0.0091808067573379,0.028791729713904,1.005,1.51,0
1.52,-0.0042183205548033,0.028606701904492,1.005,1.52,0
1.53,0.00091666898579639,0.028384167430542,1.005,1.53,0
1.54,0.0062280019436769,0.028123886907997,1.005,1.54,0
1.55,0.011719703281952,0.027825597120452,1.005,1.55,0
1.56,0.017395896134472,0.027489195545502,1.005,1.56,0
1.57,0.023260791716646,0.027114703241217,1.005,1.57,0
1.58,0.029318681719715,0.026702269146898,1.005,1.58,0
1.59,0.035573930054312,0.026252179718305,1.005,1.59,0
1.6,0.04203096265198,0.025764865900902,1.005,1.6,0
1.61,0.048694255274937,0.025240909604524,1.005,1.61,0
1.62,0.055568319155038,0.024681050184805,1.005,1.62,0
1.63,0.062657684232404,0.024086190690695,1.005,1.63,0
1.64,0.069966879816755,0.02345740373075,1.005,1.64,0
1.65,0.07750041251692,0.022795936866933,1.005,1.65,0
1.66,0.085262741291773,0.022103217435446,1.005,1.66,0
1.67,0.093258249487341,0.021380856682587,1.005,1.67,0
1.68,0.10149121374082,0.020630653095669,1.005,1.68,0
1.69,0.10996576965251,0.019854594801645,1.005,1.69,0
1.7,0.11868587415317,0.019054860899622,1.005,1.7,0
1.71,0.12765526452982,0.018233821586925,1.005,1.71,0
1.72,0.13687741411492,0.017394036930156,1.005,1.72,0
1.73,0.1463554846926,0.016538254123567,1.005,1.73,0
1.74,0.15609227572955,0.015669403068485,1.005,1.74,0
1.75,0.16609017059901,0.014790590100017,1.005,1.75,0
1.76,0.17635108003394,0.013905089681542,1.005,1.76,0
1.77,0.18687638312026,0.013016333883602,1.005,1.77,0
1.78,0.19766686622311,0.012127899462435,1.005,1.78,0
1.79,0.20872266032743,0.011243492354857,1.005,1.79,0
1.8,0.22004317736993,0.010366929412148,1.005,1.8,0
1.81,0.23162704624224,0.0095021172060316,1.005,1.81,0
1.82,0.24347204925635,0.008653027753992,1.005,1.82,0
1.83,0.25557505998006,0.007823671027416,1.005,1.83,0
1.84,0.26793198346994,0.0070180641252276,1.005,1.84,0
1.85,0.2805377000503,0.006240197018446,1.005,1.85,0
1.86,0.2933860139068,0.0054939947976425,1.005,1.86,0
