time,cr_mfr_fraction,enthalpy_balance,heat_source_integral,inlet_mfr,mass_flux_weighted_Tf_out,outlet_mfr,pressure_drop
219.41299928053,2.3476711978077,198644561.93569,200000044.52336,64.297762097183,1127.9433697041,64.297931835274,148398.19941935
263.30014313664,2.3478359154419,198762024.29141,200000044.52336,64.297918768416,1128.2940098092,64.298063686487,148412.99858226
315.96471576396,2.3480059851019,198882721.69493,200000044.52336,64.29808161572,1128.6541978046,64.298206180607,148428.38113781
379.16220291676,2.3481811772592,199006603.5757,200000044.52336,64.298250268622,1129.0238174924,64.298357124342,148444.31209139
454.99918750011,2.3483595541652,199132517.1403,200000044.52336,64.298422698067,1129.3994566218,64.298513332487,148460.59977841
546.00356900013,2.3485375215791,199258233.56091,200000044.52336,64.298595261318,1129.7744858243,64.29867062287,148476.90010592
655.20882680015,2.3487102075911,199380685.80037,200000044.52336,64.298763069926,1130.1397697309,64.298824043293,148492.75131107
786.25513616018,2.3488721119202,199496378.66981,200000044.52336,64.298920625891,1130.4848919533,64.298968322895,148507.63405231
943.51070739222,2.3490179299324,199601905.02888,200000044.52336,64.299062632254,1130.7996960354,64.299098504722,148521.04797859
1132.2173928707,2.349143419125,199694480.81267,200000044.52336,64.299184847809,1131.0758816818,64.29921065766,148532.59246512
1358.6654154448,2.3492461332802,199772390.09951,200000044.52336,64.299284812858,1131.3083320404,64.29930250452,148542.03516838
1630.4030425338,2.3493258296947,199835226.77566,200000044.52336,64.299362252693,1131.4958341938,64.299373776266,148549.35013904
1956.4881950405,2.3493844048476,199883856.55605,200000044.52336,64.299419014599,1131.6409659765,64.299426149091,148554.71187177
2347.7903780486,2.3494253495006,199920107.07395,200000044.52336,64.299458528635,1131.7491724159,64.299462749007,148558.44436982
2817.3529976583,2.3494528900434,199946293.25435,200000044.52336,64.299484956731,1131.8273515209,64.299487372048,148560.94076921
3380.82814119,2.3494711051269,199964744.57258,200000044.52336,64.299502316464,1131.8824459259,64.299503681735,148562.58057058
4056.998313428,2.3494832959169,199977479.4956,200000044.52336,64.299513855672,1131.9204731831,64.29951463681,148563.67056486
4868.4025201136,2.3494917462587,199986081.83416,200000044.52336,64.29952181378,1131.9461574687,64.299522273781,148564.42228827
5842.0875681363,2.3494978252072,199991733.86024,200000044.52336,64.299527523346,1131.9630279155,64.299527801505,148564.96161417
7010.5096257636,2.3495022674385,199995313.01151,200000044.52336,64.299531689028,1131.9737059045,64.299531858562,148565.35510473
8412.6160949163,2.349505465036,199997479.23182,200000044.52336,64.29953467849,1131.9801642642,64.299534779461,148565.63748948
10095.1438579,2.3495076701542,199998724.5226,200000044.52336,64.299536724758,1131.9838739873,64.299536782303,148565.83078013
12114.177173479,2.3495090979086,199999402.33587,200000044.52336,64.299538028766,1131.9858914772,64.299538059582,148565.95395673
