time,dT,flow_hx_bot,flow_hx_top,heat_exchanger_T_ambient,max_flow_T,max_v,mdot,min_flow_T,pump,total_fission_source,total_power,total_power_density,lambda
5.5,104.55946187347,-4.4887957465131,4.4887957465131,946.71779531355,4848.9372502122,2.0293876034458,19230.000978062,-4379.5911824969,1,70.461966149451,3326561103.773,358852330.5041,4.9460909634276e-13
5.75,103.06705345876,-4.4875735153819,4.4875735153819,947.95030269297,4847.7239825752,2.0282717913426,19224.764939896,-4385.2030031652,1,70.514726876782,3337288997.7094,360009600.6159,6.8203725264702e-13
6,101.80826478557,-4.4863528828995,4.4863528828995,948.6849094888,4846.5371436051,2.026987418845,19219.535750341,-4389.7893413814,1,70.270488247451,3334602401.0129,359719784.35953,5.0247221202596e-13
6.25,100.8594362153,-4.4852598856067,4.4852598856067,948.98693412403,4845.5280337619,2.0256719148364,19214.853349939,-4393.1472504205,1,69.781904737392,3319649321.1856,358106722.8895,4.4515080416475e-14
6.5,100.24103411588,-4.4843843576701,4.4843843576701,948.95637242936,4844.7987759232,2.0244574683915,19211.102588259,-4395.2794505372,1,69.120224801838,3294568221.2083,355401102.61146,2.9685693364085e-13
6.75,99.928396127557,-4.4837739737133,4.4837739737133,948.71301811295,4844.3953369188,2.0242496398745,19208.487703388,-4396.3389951271,1,68.360902575407,3262531018.0825,351945093.64429,7.1449079473272e-14
7,99.863859232122,-4.4834356046173,4.4834356046173,948.37821897515,4844.3103467816,2.0245076786902,19207.038130181,-4396.5771646858,1,67.578783933968,3227192543.2232,348132960.434,3.3088177000486e-13
7.25,99.970312345974,-4.4833414416263,4.4833414416263,948.0521802541,4844.4925686998,2.0245196214874,19206.634735927,-4396.2915244268,1,66.836490827604,3191753839.6177,344310015.06125,4.7270095259279e-13
7.5,100.16672827968,-4.4834393089474,4.4834393089474,947.79402927871,4844.8617355093,2.0242643175077,19207.053999531,-4395.7702884915,1,66.181532916007,3158959337.4355,340772312.56046,4.2161382469243e-13
7.75,100.38397372765,-4.4836645720139,4.4836645720139,947.61456898738,4845.3252916807,2.023752981215,19208.019026507,-4395.2372250801,1,65.636817505258,3130380428.6836,337689366.63253,6.2497727756672e-13
8,100.57667902088,-4.4839533141288,4.4839533141288,947.48639574075,4845.7956031166,2.0231896398673,19209.255997728,-4394.8144698969,1,65.214370281915,3107204466.2707,335189262.81238,3.3436994742768e-13
8.25,100.72702091692,-4.4842526448249,4.4842526448249,947.36712805171,4846.202344045,2.0239304463779,19210.53833043,-4394.516934093,1,64.910445522906,3089539749.1309,333283683.83289,5.5846817940866e-13
8.5,100.83934597408,-4.4845270261486,4.4845270261486,947.22505196942,4846.4994017121,2.0247903286986,19211.713780021,-4394.2826293922,1,64.710823574153,3077073068.8461,331938842.37822,7.8439440875934e-13
8.75,100.92834669739,-4.484759048528,4.484759048528,947.05617434295,4846.665010743,2.0256999306526,19212.707763894,-4394.0256946389,1,64.595692383646,3069012954.5532,331069358.63573,8.5574668490705e-13
9,101.00607287132,-4.4849457217534,4.4849457217534,946.8869538541,4846.6968825904,2.0265989420153,19213.507471992,-4393.6901281951,1,64.543563977225,3064496843.1533,330582183.72743,6.1757251230029e-13
9.25,101.07299703612,-4.4850920280726,4.4850920280726,946.76410404916,4846.6047855105,2.0274387239832,19214.134248263,-4393.2830922504,1,64.537176572443,3062653886.9264,330383375.07297,7.4984573126083e-13
9.5,101.11581790295,-4.4852030508371,4.4852030508371,946.73769824971,4846.4018663043,2.0281823962395,19214.609869786,-4392.8768913581,1,64.546697269427,3062052372.8469,330318486.82275,5.112966703108e-13
9.75,101.11171219478,-4.4852830586638,4.4852830586638,946.84472698471,4846.1037941443,2.0288061271433,19214.952623316,-4392.5891444045,1,64.588257485024,3063910087.3746,330518887.52692,8.0464496696148e-13
10,101.03639222598,-4.4853292101812,4.4853292101812,947.09829317073,4845.7220310978,2.0292958188699,19215.150336416,-4392.5405497553,1,64.63903532901,3065566383.1034,330697560.20533,6.2275155109283e-13
10.25,100.87250327297,-4.4853355364439,4.4853355364439,947.48444708817,4845.2675911795,2.0296475573131,19215.177438126,-4392.8205675992,1,64.695752825584,3067861975.4615,330945196.92141,2.6719426542064e-13
10.5,100.61565085362,-4.4852955019833,4.4852955019833,947.96605680157,4844.7526628877,2.0298662373325,19215.005930496,-4393.4617366849,1,64.746519701292,3070168370.3213,331193998.95591,2.4209225999357e-13
10.75,100.2765936058,-4.4852056400337,4.4852056400337,948.49031652084,4844.1928493318,2.0299644515632,19214.620961904,-4394.4317061277,1,64.781474026053,3072095985.3739,331401940.16978,5.8075340587266e-13
11,99.879895112408,-4.4850682047213,4.4850682047213,948.9979834263,4843.6081941111,2.0299611426831,19214.032189026,-4395.6400522516,1,64.79076433805,3073108895.5533,331511207.71881,8.3290331267025e-13
11.25,99.459912832971,-4.4848936464441,4.4848936464441,949.43321989853,4843.024111073,2.0298806922039,19213.284381367,-4396.9569799325,1,64.785069478766,3073361018.3262,331538405.42893,7.5763502545746e-13
11.5,99.055231635495,-4.4846965658873,4.4846965658873,949.75247817436,4842.4661445931,2.0297496039269,19212.440088261,-4398.2334874442,1,64.722116695014,3070728062.1683,331254375.63843,4.7683167914475e-13
11.75,98.702390769747,-4.4844990257589,4.4844990257589,949.93100335844,4841.9627554124,2.0295973145801,19211.593826351,-4399.3319801654,1,64.627542534294,3067587940.5364,330915635.44082,1.7663017643595e-13
12,98.430195121979,-4.4843235135947,4.4843235135947,949.96592953705,4841.5378258512,2.0294520071681,19210.84193224,-4400.144987418,1,64.493524007849,3062247316.5271,330339516.34597,3.7059446416364e-13
12.25,98.255486017498,-4.4841907052747,4.4841907052747,949.87533693565,4841.2089526785,2.0293391084382,19210.272981397,-4400.6126155366,1,64.334749385938,3055654788.225,329628348.24433,3.0961135121337e-13
12.5,98.181122395049,-4.4841154312701,4.4841154312701,949.69347869261,4840.984295591,2.0292787690264,19209.950507561,-4400.7288095999,1,64.160881755613,3047988468.5558,328801345.04377,2.7592564878143e-13
12.75,98.196479790764,-4.484104667828,4.484104667828,949.46315588143,4840.8617974464,2.0292842670243,19209.904396975,-4400.5385040523,1,63.987711051552,3040039942.6408,327943898.88251,6.1128898601058e-13
13,98.280339163468,-4.4841563766461,4.4841563766461,949.22708623434,4840.8292957541,2.0293607880197,19210.125917552,-4400.1248861953,1,63.828430469271,3032354945.8501,327114880.88998,2.19835024407e-13
13.25,98.405480329876,-4.4842602863105,4.4842602863105,949.0206100701,4840.8665042458,2.0295053060661,19210.571066554,-4399.5907168472,1,63.695246984199,3025569298.3161,326382880.07725,2.757821928664e-13
13.5,98.54382630207,-4.4844000069687,4.4844000069687,948.86715149115,4840.9480886127,2.0297074150895,19211.169629854,-4399.038153257,1,63.596963119593,3020148414.2768,325798102.94248,1.3839576916564e-13
13.75,98.67097606988,-4.4845560365492,4.4845560365492,948.7768331946,4841.0473064032,2.0299510278805,19211.838060577,-4398.5517850369,1,63.537141254243,3016363620.986,325389818.87659,1.6284463601152e-13
14,98.769306170468,-4.4847091700148,4.4847091700148,948.74792820742,4841.139727384,2.030216741519,19212.494084343,-4398.1881142853,1,63.516818257086,3014361635.0814,325173854.91708,4.0678393694382e-13
14.25,98.829263211829,-4.4848420818146,4.4848420818146,948.77026127424,4841.2046903283,2.030483796413,19213.063478494,-4397.9710517612,1,63.520220027879,3013356855.819,325065464.48964,4.033532752402e-13
14.5,98.848920086222,-4.4849451236124,4.4849451236124,948.8294017688,4841.2311346318,2.0307342664844,19213.504909555,-4397.8991525168,1,63.554054378161,3014956102.3357,325237982.99198,6.9450939323399e-13
14.75,98.832304872363,-4.4850122440277,4.4850122440277,948.9106000646,4841.2129035147,2.030952473162,19213.792453414,-4397.9488060567,1,63.599264732173,3016483454.1418,325402745.86211,6.0161254004942e-13
15,98.78705555068,-4.485043320259,4.485043320259,949.00172899837,4841.1509608759,2.0311277051145,19213.92558399,-4398.0867372503,1,63.654147584428,3018689594.8812,325640732.9969,4.9394962888529e-13
15.25,98.722032945147,-4.4850424672426,4.4850424672426,949.09484550148,4841.0513350947,2.0312544438431,19213.921929667,-4398.2788248832,1,63.705120158412,3020914137.3077,325880705.21119,2.612248539314e-13
15.5,98.645360856448,-4.4850167428224,4.4850167428224,949.18637244116,4840.9234937302,2.0313323428224,19213.811726251,-4398.4973986873,1,63.746512488018,3022983573.3803,326103945.34847,1.6190679041963e-13
15.75,98.56320332454,-4.4849743128116,4.4849743128116,949.2759091288,4840.7782071186,2.0313654015642,19213.629956085,-4398.7247720196,1,63.773071730048,3024622823.306,326280779.21316,2.0133844299243e-13
16,98.479440448438,-4.4849227164039,4.4849227164039,949.36433566908,4840.6255969184,2.031360726422,19213.408917074,-4398.9529173525,1,63.78354107503,3025569506.2054,326382902.50328,3.4941499494624e-13
16.25,98.396111632155,-4.4848680590945,4.4848680590945,949.45191834284,4840.4742089607,2.0313273760887,19213.174765161,-4399.1806307626,1,63.783473094752,3025845437.5834,326412668.56347,3.5316400983827e-13
16.5,98.314309971088,-4.4848153033022,4.4848153033022,949.53693794833,4840.3312633263,2.0312754616481,19212.948759347,-4399.4097414343,1,63.783227306192,3025833770.0164,326411409.92626,3.2493247883174e-13
16.75,98.235193916584,-4.484766453545,4.484766453545,949.61523498381,4840.200648337,2.0312142286704,19212.739486987,-4399.6387461024,1,63.758450229819,3024660862.7306,326284882.71096,3.9101869245735e-13
17,98.160719562857,-4.4847233598118,4.4847233598118,949.68079581562,4840.0857157493,2.0311525353928,19212.554873434,-4399.8620437098,1,63.734158762508,3023509969.3588,326160730.24367,2.4390827239643e-13
17.25,98.093878716408,-4.48468682007,4.48468682007,949.7271548799,4839.9881321962,2.031097609515,19212.39833718,-4400.0678071871,1,63.695331935667,3021799768.5576,325976242.56285,-2.9396168546412e-13
17.5,98.038387878429,-4.48465829033,4.48465829033,949.74913285004,4839.9095531852,2.0310554063082,19212.276115774,-4400.2408842156,1,63.649417112404,3020233966.3342,325807331.85914,2.8691708133644e-14
17.75,97.997961544244,-4.4846389084978,4.4846389084978,949.74436787113,4839.8505666899,2.0310299020361,19212.193084004,-4400.3650953951,1,63.605284224117,3018359162.7974,325605087.68041,-1.406817173447e-13
18,97.975389359886,-4.4846294365185,4.4846294365185,949.7142101263,4839.8107142943,2.0310231819894,19212.152506045,-4400.4273991166,1,63.561833607257,3016233286.1377,325375759.02241,-1.276763547735e-13
18.25,97.971698648216,-4.4846307437835,4.4846307437835,949.66377122362,4839.7891346862,2.0310359097284,19212.158106369,-4400.4222429078,1,63.521198223236,3014301847.0789,325167405.29438,-5.6949731459608e-14
18.5,97.985651822757,-4.4846431052514,4.4846431052514,949.60115661085,4839.7839849115,2.0310672453417,19212.211062897,-4400.3533070511,1,63.48511161252,3012519520.6873,324975137.07522,-8.1226999103038e-14
18.75,98.013711409206,-4.4846656898679,4.4846656898679,949.53609513273,4839.7920998449,2.0311149121865,19212.307815394,-4400.2333711514,1,63.456161157937,3010892563.2239,324799629.25825,-3.9792469140578e-14
19,98.050482870765,-4.4846965435088,4.4846965435088,949.47828974684,4839.8091989149,2.0311754881457,19212.439992392,-4400.082537295,1,63.436576221595,3009572354.7139,324657211.94324,4.7920176517465e-14
19.25,98.089533299371,-4.484732730959,4.484732730959,949.43584277882,4839.8302626988,2.0312447143735,19212.595019428,-4399.9249221466,1,63.421300451927,3008664330.4984,324559258.95344,-9.2480576863418e-14
19.5,98.124404553614,-4.4847708340555,4.4847708340555,949.41406291576,4839.8502757824,2.0313179058863,19212.758253094,-4399.7848081313,1,63.413909313883,3008314582.4289,324521529.9276,-2.3004150048185e-13
19.75,98.149615779225,-4.4848069245889,4.4848069245889,949.41485633795,4839.8643405596,2.0313900928109,19212.912864939,-4399.6822640672,1,63.413354753079,3008287146.1287,324518570.24042,-2.2149637625598e-14
20,98.161439239159,-4.4848366898945,4.4848366898945,949.43676769481,4839.8678623825,2.0314563085216,19213.040379508,-4399.6298381499,1,63.413303997988,3008284739.0019,324518310.57194,-2.0527823821167e-13
20.25,98.158305492821,-4.4848563467576,4.4848563467576,949.47559952906,4839.8573483805,2.0315122794862,19213.12458951,-4399.631449004,1,63.414386681782,3008333944.1092,324523618.56626,7.2319599877235e-14
20.5,98.140794336767,-4.4848656092912,4.4848656092912,949.52542915274,4839.8333580045,2.0315559071946,19213.164270204,-4399.685084615,1,63.441588165106,3009622361.4322,324662606.41124,2.2952785570223e-13
20.75,98.111317812121,-4.484862717014,4.484862717014,949.57978358448,4839.7949821522,2.0315849442574,19213.151879688,-4399.7791907795,1,63.443227279716,3009550997.6425,324654908.05205,2.5594190634497e-13
21,98.073492319905,-4.4848504569344,4.4848504569344,949.63272314137,4839.7461288441,2.0316001194409,19213.099357507,-4399.901182,1,63.468691648618,3010910889.7683,324801606.23175,1.2301419162107e-13
21.25,98.031480271371,-4.4848298419667,4.4848298419667,949.67964254396,4839.6887536654,2.0316020074887,19213.011042985,-4400.0342454922,1,63.465197191074,3010746441.8252,324783866.43206,-1.788825721926e-13
21.5,97.989279180125,-4.4848044133463,4.4848044133463,949.71767916554,4839.6273744796,2.0315932656869,19212.902106775,-4400.1646227519,1,63.474528264571,3011188600.1816,324831564.20513,-7.0543447639545e-14
21.75,97.950202247137,-4.4847774786216,4.4847774786216,949.74572390994,4839.5661585131,2.0315770571158,19212.786718415,-4400.2812974487,1,63.474455987695,3011185756.2655,324831257.41807,-4.0037030367246e-13
22,97.916556384825,-4.4847525377201,4.4847525377201,949.76411330328,4839.509300142,2.0315570908292,19212.679871593,-4400.3777754104,1,63.474172874426,3011172319.8721,324829807.96895,-5.270622881858e-13
22.25,97.889576555712,-4.4847308876249,4.4847308876249,949.77413699027,4839.4585824354,2.0315362860664,19212.587122585,-4400.4501748795,1,63.452946142973,3010167026.9162,324721362.12688,-3.237760965106e-13
22.5,97.869521913178,-4.4847149311595,4.4847149311594,949.7775067177,4839.416809798,2.0315181660592,19212.518765087,-4400.4999035685,1,63.447253109935,3009895984.3534,324692123.44697,-1.7894153959714e-13
22.75,97.855933545355,-4.4847042799072,4.4847042799072,949.77591516177,4839.3836517937,2.0315046486186,19212.473135123,-4400.5287278085,1,63.419369790148,3008585041.7695,324550705.6925,1.4432216362067e-13
23,97.847904389855,-4.4846998360603,4.4846998360603,949.77076184769,4839.3599382837,2.0314978770183,19212.454097682,-4400.5414575076,1,63.410083087658,3008198640.8698,324509022.74756,4.2417015404349e-13
23.25,97.844374873937,-4.4847001679847,4.4847001679847,949.76307103705,4839.3438398186,2.0314982331228,19212.455519646,-4400.5411553851,1,63.386171622682,3006999111.9164,324379623.72345,4.0842283808155e-13
23.5,97.844313372559,-4.4847050660425,4.4847050660425,949.75356964548,4839.3346904612,2.0315060789349,19212.476502926,-4400.5318025959,1,63.378100266994,3006615285.4303,324338218.49302,3.2505491885929e-13
23.75,97.84683867882,-4.4847126275834,4.4847126275834,949.74286027263,4839.3299764861,2.0315203160566,19212.508896567,-4400.5150234941,1,63.35660933935,3005595814.6543,324228243.22053,5.7770233074023e-13
24,97.851201622958,-4.4847228037181,4.4847228037181,949.73160647247,4839.3291551417,2.0315402411798,19212.552491128,-4400.493639852,1,63.356383329671,3005584676.9448,324227041.74162,1.9168025047978e-13
24.25,97.856749600232,-4.4847332781341,4.4847332781341,949.72065995921,4839.3293193388,2.0315636549103,19212.597363527,-4400.4678979166,1,63.334679464236,3004557943.0071,324116282.95653,-7.7227159957571e-14
24.5,97.862812230704,-4.4847438669555,4.4847438669555,949.71108171233,4839.3298733692,2.031589269421,19212.642726037,-4400.4402264145,1,63.334726779291,3004557052.9275,324116186.93932,7.803563918441e-14
24.75,97.868638113349,-4.4847542147192,4.4847542147192,949.7040495547,4839.3300141535,2.0316155794185,19212.687055857,-4400.4132268858,1,63.334624076007,3004552177.7032,324115661.02515,4.3435495532673e-14
25,97.873409466329,-4.4847637207582,4.4847637207582,949.70067778995,4839.32878271,2.0316410106022,19212.727779728,-4400.3896667085,1,63.333399143992,3004495862.8577,324109586.06879,-4.7342639766082e-13
25.25,97.876302787145,-4.4847717234564,4.4847717234564,949.7017999274,4839.3252971835,2.0316641621928,19212.762063287,-4400.3724220473,1,63.332505180656,3004451997.9112,324104854.1436,-1.9859939188086e-13
25.5,97.876593845574,-4.4847776226282,4.4847776226282,949.7077751889,4839.3189167137,2.0316839502066,19212.787335339,-4400.364158856,1,63.33249231275,3004451046.1021,324104751.46733,8.4573714563081e-15
25.75,97.873763272807,-4.4847808841003,4.4847808841003,949.71837189449,4839.3091447439,2.0316996347398,19212.801307486,-4400.3667621631,1,63.332481357833,3004450526.7936,324104695.44699,-7.6440240931191e-14
26,97.867591408111,-4.4847811449311,4.4847811449311,949.73275962232,4839.2956871458,2.0317108573357,19212.802424885,-4400.3809584989,1,63.332495894367,3004451217.142,324104769.91823,-3.3224560177257e-13
26.25,97.858213720332,-4.4847784654758,4.4847784654758,949.74961434396,4839.2786569028,2.0317177114647,19212.790946098,-4400.40624734,1,63.334321921684,3004537069.4171,324114031.22083,-2.0514037138781e-13
26.5,97.846131103896,-4.4847735671598,4.4847735671598,949.76731430962,4839.2588415804,2.0317207648186,19212.769961712,-4400.4410991568,1,63.340378962396,3004825042.438,324145096.27163,-4.710388164487e-13
26.75,97.832176658058,-4.4847668273128,4.4847668273128,949.78418577944,4839.2367074603,2.0317205269191,19212.741088208,-4400.4822069404,1,63.340377965127,3004825137.5648,324145106.53342,-7.2824509526346e-13
27,97.817417520437,-4.4847589206153,4.4847589206153,949.79874866445,4839.2131367366,2.0317177749224,19212.707215916,-4400.5256009203,1,63.340376794445,3004825082.1412,324145100.55461,-8.0720787645217e-13
27.25,97.803008609921,-4.4847507458536,4.4847507458536,949.80991615404,4839.1894160952,2.0317134691501,19212.672195237,-4400.5673002852,1,63.34036508146,3004824525.855,324145040.5453,-1.0607708231132e-12
27.5,97.790028313509,-4.4847433178641,4.4847433178641,949.81711491639,4839.1670322254,2.0317086482282,19212.64037373,-4400.6038561926,1,63.340293285098,3004821118.1379,324144672.93828,-7.7745171244063e-13
27.75,97.779336072957,-4.484737489081,4.484737489081,949.82031094762,4839.1473539814,2.0317042529743,19212.615403223,-4400.6326998375,1,63.338592310669,3004741432.1176,324136076.81959,-6.3990639682353e-13
28,97.771477668682,-4.4847330631181,4.4847330631181,949.81994633515,4839.1306243968,2.0317007219186,19212.596442398,-4400.6516458661,1,63.326563661613,3004170386.7297,324074475.37538,-5.5804430470782e-13
28.25,97.7666169541,-4.4847309129264,4.4847309129264,949.81680842626,4839.1180571269,2.0316989900559,19212.587230977,-4400.6610878206,1,63.326443280643,3004164076.4999,324073794.66019,-4.4272562832276e-13
28.5,97.764562855392,-4.484730462353,4.484730462353,949.8118659141,4839.1091028387,2.0316991705053,19212.58530072,-4400.6613896626,1,63.313666967869,3003558268.0718,324008443.1577,-2.3461460361939e-13
28.75,97.7648287639,-4.4847321747729,4.4847321747729,949.80610560466,4839.1041012428,2.0317017675799,19212.592636727,-4400.6550281241,1,63.313585482831,3003554108.4535,324007994.43943,2.1236741214498e-13
29,97.766749955995,-4.4847352689874,4.4847352689874,949.80040031078,4839.1018777293,2.0317064918243,19212.605892342,-4400.6438860674,1,63.303583349146,3003079770.3123,323956825.27641,1.3365633721936e-13
29.25,97.769602859291,-4.4847397341406,4.4847397341406,949.79542414309,4839.1020217834,2.0317132833691,19212.625021058,-4400.6307990491,1,63.30351295682,3003076271.2973,323956447.82064,1.5373187455123e-13
29.5,97.772716571654,-4.4847447370934,4.4847447370934,949.79162026782,4839.1032483422,2.0317215163703,19212.646453708,-4400.6175722662,1,63.297057729659,3002771528.8369,323923573.76882,-6.9391706043631e-14
29.75,97.775547923399,-4.4847499697094,4.4847499697094,949.78921288262,4839.1049506541,2.031730725161,19212.668870235,-4400.6060650663,1,63.297008545024,3002767703.7686,323923161.14009,3.1052204274603e-14
30,97.777710466442,-4.4847548642533,4.4847548642533,949.78824920752,4839.1063218859,2.0317402355336,19212.689838461,-4400.5972592559,1,63.294843637507,3002667441.2728,323912345.33687,3.6526451049349e-13
30.25,97.778976913138,-4.4847590702052,4.4847590702052,949.7886539422,4839.1068954668,2.031749460789,19212.707856759,-4400.5917418802,1,63.294822663779,3002664006.0835,323911974.76629,1.6239079462721e-13
30.5,97.779250882653,-4.484762298982,4.484762298982,949.79028099252,4839.1063146259,2.0317578649951,19212.721688839,-4400.5896166446,1,63.294785727821,3002662253.4027,323911785.69608,-2.606523868555e-13
30.75,97.778533323858,-4.4847643591919,4.4847643591919,949.79295189258,4839.104358684,2.0317650257352,19212.730514778,-4400.5906773391,1,63.294780689491,3002662014.7825,323911759.95496,1.1118332431741e-13
31,97.776885470051,-4.4847651751448,4.4847651751448,949.79647651009,4839.1009174844,2.0317706734271,19212.73401032,-4400.5945465942,1,63.294777340756,3002661856.1055,323911742.83771,1.0762396857896e-14
31.25,97.774401487931,-4.4847647885984,4.4847647885984,949.80065751512,4839.0959828813,2.0317747046308,19212.732354356,-4400.6007898619,1,63.294775679622,3002661777.6377,323911734.37299,3.9828120245787e-13
31.5,97.771192822309,-4.4847633460826,4.4847633460826,949.80528449602,4839.0896341028,2.0317771723205,19212.726174618,-4400.6089722306,1,63.294777343982,3002661856.89,323911742.92233,4.1973776354335e-13
31.75,97.767384838289,-4.4847610767476,4.4847610767476,949.81012576963,4839.0820282415,2.0317782596068,19212.716452787,-4400.6186661433,1,63.294781101228,3002662035.4176,323911762.18097,3.5641920714563e-13
32,97.763122315491,-4.4847582655065,4.4847582655065,949.81492562985,4839.0734007991,2.0317782438889,19212.70440943,-4400.629429933,1,63.294785300626,3002662234.7434,323911783.68322,2.4261808941805e-13
32.25,97.758577504004,-4.4847552251269,4.4847552251269,949.81941228906,4839.0640717281,2.0317774576514,19212.691384444,-4400.6407804661,1,63.29478936408,3002662427.0246,323911804.42552,4.2404356517909e-13
32.5,97.753953462249,-4.4847522719115,4.4847522719115,949.8233178355,4839.054436951,2.031776251861,19212.678732869,-4400.6521720728,1,63.294784548475,3002662198.4433,323911779.76734,3.6512539848575e-13
32.75,97.749479301371,-4.4847497025903,4.4847497025903,949.8264072601,4839.0449679379,2.0317749632238,19212.667725897,-4400.6630197128,1,63.294775277009,3002661758.7939,323911732.34023,3.5283519754373e-13
33,97.745394455234,-4.4847477752142,4.4847477752142,949.82851023962,4839.0361738553,2.0317738885136,19212.659469018,-4400.6727335348,1,63.294746584072,3002660396.6126,323911585.3951,3.4910753380668e-13
33.25,97.741925110351,-4.4847466902616,4.4847466902616,949.82954790515,4839.0285646865,2.0317732644955,19212.654821081,-4400.6807895481,1,63.294671906086,3002656852.0679,323911203.02782,3.7345416148044e-13
33.5,97.739257624701,-4.484746569425,4.484746569425,949.82954768921,4839.0226080188,2.0317732524087,19212.654303417,-4400.6868076883,1,63.294497152602,3002648559.5201,323910308.47034,1.810766243114e-13
33.75,97.737514015009,-4.4847468896244,4.4847468896244,949.82864232306,4839.0180623489,2.0317736954136,19212.655675151,-4400.6900503705,1,63.287956793007,3002338429.7904,323876853.26757,3.8835003023548e-13
