z,T,PD,T_const,T_linear,T_K
0.113116,628.4854,7.41E+05,6.27E+02,630.6475521,901.6354
0.114387,628.5093,7.47E+05,6.27E+02,630.687301,901.6593
0.115658,628.5331,7.53E+05,6.27E+02,630.7270498,901.6831
0.116929,628.5568,7.59E+05,6.27E+02,630.7667986,901.7068
0.1182,628.5804,7.64E+05,6.27E+02,630.8065475,901.7304
0.119471,628.6039,7.70E+05,6.27E+02,630.8462963,901.7539
0.120742,628.6272,7.76E+05,6.27E+02,630.8860451,901.7772
0.122013,628.6504,7.82E+05,6.27E+02,630.9257939,901.8004
0.123284,628.6733,7.87E+05,6.27E+02,630.9655428,901.8233
0.124555,628.696,7.93E+05,6.27E+02,631.0052916,901.846
0.125826,628.7185,7.99E+05,6.27E+02,631.0450404,901.8685
0.127097,628.7407,8.04E+05,6.27E+02,631.0847893,901.8907
0.128368,628.7627,8.10E+05,6.27E+02,631.1245381,901.9127
0.129639,628.7845,8.15E+05,6.27E+02,631.1642869,901.9345
0.13091,628.8062,8.20E+05,6.27E+02,631.2040358,901.9562
0.132181,628.8277,8.26E+05,6.27E+02,631.2437846,901.9777
0.133452,628.8491,8.31E+05,6.27E+02,631.2835334,901.9991
0.134723,628.8704,8.36E+05,6.27E+02,631.3232823,902.0204
0.135994,628.8917,8.41E+05,6.27E+02,631.3630311,902.0417
0.137265,628.9129,8.46E+05,6.27E+02,631.4027799,902.0629
0.138536,628.934,8.51E+05,6.27E+02,631.4425287,902.084
0.139807,628.9552,8.56E+05,6.27E+02,631.4822776,902.1052
0.141078,628.9764,8.61E+05,6.27E+02,631.5220264,902.1264
0.142349,628.9977,8.66E+05,6.27E+02,631.5617752,902.1477
0.14362,629.019,8.71E+05,6.27E+02,631.6015241,902.169
0.144891,629.0404,8.76E+05,6.27E+02,631.6412729,902.1904
0.146162,629.062,8.80E+05,6.27E+02,631.6810217,902.212
0.147433,629.0837,8.85E+05,6.27E+02,631.7207706,902.2337
0.148704,629.1055,8.90E+05,6.27E+02,631.7605194,902.2555
0.149974,629.1276,8.94E+05,6.27E+02,631.800237,902.2776
0.151245,629.1499,8.99E+05,6.27E+02,631.8399858,902.2999
0.152516,629.1724,9.03E+05,6.27E+02,631.8797346,902.3224
0.153787,629.1952,9.08E+05,6.27E+02,631.9194834,902.3452
0.155058,629.2182,9.12E+05,6.27E+02,631.9592323,902.3682
0.156329,629.2416,9.17E+05,6.27E+02,631.9989811,902.3916
0.1576,629.2653,9.21E+05,6.27E+02,632.0387299,902.4153
0.158871,629.2894,9.25E+05,6.27E+02,632.0784788,902.4394
0.160142,629.3138,9.30E+05,6.27E+02,632.1182276,902.4638
0.161413,629.3387,9.34E+05,6.27E+02,632.1579764,902.4887
0.162684,629.364,9.38E+05,6.27E+02,632.1977253,902.514
0.163955,629.3897,9.42E+05,6.27E+02,632.2374741,902.5397
0.165226,629.416,9.46E+05,6.27E+02,632.2772229,902.566
0.166497,629.4427,9.50E+05,6.27E+02,632.3169718,902.5927
0.167768,629.4699,9.54E+05,6.27E+02,632.3567206,902.6199
0.169039,629.4977,9.59E+05,6.27E+02,632.3964694,902.6477
0.17031,629.5259,9.63E+05,6.27E+02,632.4362182,902.6759
0.171581,629.5546,9.67E+05,6.27E+02,632.4759671,902.7046
0.172852,629.5837,9.71E+05,6.27E+02,632.5157159,902.7337
0.174123,629.6132,9.75E+05,6.27E+02,632.5554647,902.7632
0.175394,629.6431,9.78E+05,6.27E+02,632.5952136,902.7931
0.176665,629.6733,9.82E+05,6.27E+02,632.6349624,902.8233
0.177936,629.7039,9.86E+05,6.27E+02,632.6747112,902.8539
0.179207,629.7348,9.90E+05,6.27E+02,632.7144601,902.8848
0.180478,629.766,9.94E+05,6.27E+02,632.7542089,902.916
0.181749,629.7975,9.98E+05,6.27E+02,632.7939577,902.9475
0.18302,629.8293,1.00E+06,6.27E+02,632.8337066,902.9793
0.184291,629.8612,1.01E+06,6.27E+02,632.8734554,903.0112
0.185562,629.8934,1.01E+06,6.27E+02,632.9132042,903.0434
0.186833,629.9257,1.01E+06,6.27E+02,632.9529531,903.0757
0.188104,629.9583,1.02E+06,6.27E+02,632.9927019,903.1083
0.189375,629.9909,1.02E+06,6.27E+02,633.0324507,903.1409
0.190646,630.0237,1.03E+06,6.27E+02,633.0721995,903.1737
0.191917,630.0565,1.03E+06,6.27E+02,633.1119484,903.2065
0.193187,630.0895,1.03E+06,6.27E+02,633.1516659,903.2395
0.194458,630.1225,1.04E+06,6.27E+02,633.1914148,903.2725
0.195729,630.1555,1.04E+06,6.27E+02,633.2311636,903.3055
0.197,630.1885,1.04E+06,6.27E+02,633.2709124,903.3385
0.198271,630.2215,1.05E+06,6.27E+02,633.3106613,903.3715
0.199542,630.2544,1.05E+06,6.27E+02,633.3504101,903.4044
0.200813,630.2873,1.06E+06,6.27E+02,633.3901589,903.4373
0.202084,630.3201,1.06E+06,6.27E+02,633.4299077,903.4701
0.203355,630.3528,1.06E+06,6.27E+02,633.4696566,903.5028
0.204626,630.3854,1.07E+06,6.27E+02,633.5094054,903.5354
0.205897,630.4178,1.07E+06,6.27E+02,633.5491542,903.5678
0.207168,630.45,1.08E+06,6.27E+02,633.5889031,903.6
0.208439,630.4821,1.08E+06,6.27E+02,633.6286519,903.6321
0.20971,630.5139,1.09E+06,6.27E+02,633.6684007,903.6639
0.210981,630.5455,1.09E+06,6.27E+02,633.7081496,903.6955
0.212252,630.577,1.09E+06,6.27E+02,633.7478984,903.727
0.213523,630.6083,1.10E+06,6.27E+02,633.7876472,903.7583
0.214794,630.6395,1.10E+06,6.27E+02,633.8273961,903.7895
0.216065,630.6706,1.11E+06,6.27E+02,633.8671449,903.8206
0.217336,630.7016,1.11E+06,6.27E+02,633.9068937,903.8516
0.218607,630.7325,1.12E+06,6.27E+02,633.9466425,903.8825
0.219878,630.7633,1.12E+06,6.27E+02,633.9863914,903.9133
0.221149,630.7941,1.13E+06,6.27E+02,634.0261402,903.9441
0.22242,630.8249,1.13E+06,6.27E+02,634.065889,903.9749
0.223691,630.8556,1.13E+06,6.27E+02,634.1056379,904.0056
0.224962,630.8864,1.14E+06,6.27E+02,634.1453867,904.0364
0.226233,630.9172,1.14E+06,6.27E+02,634.1851355,904.0672
0.227504,630.9481,1.15E+06,6.27E+02,634.2248844,904.0981
0.228775,630.979,1.15E+06,6.27E+02,634.2646332,904.129
0.230046,631.01,1.16E+06,6.27E+02,634.304382,904.16
0.231317,631.0412,1.16E+06,6.27E+02,634.3441309,904.1912
0.232588,631.0724,1.16E+06,6.27E+02,634.3838797,904.2224
0.233859,631.1038,1.17E+06,6.27E+02,634.4236285,904.2538
0.235129,631.1353,1.17E+06,6.27E+02,634.4633461,904.2853
0.2364,631.167,1.18E+06,6.27E+02,634.5030949,904.317
0.237671,631.199,1.18E+06,6.27E+02,634.5428437,904.349
0.238942,631.2311,1.19E+06,6.27E+02,634.5825926,904.3811
0.240213,631.2634,1.19E+06,6.27E+02,634.6223414,904.4134
0.241484,631.2961,1.19E+06,6.27E+02,634.6620902,904.4461
0.242755,631.3289,1.20E+06,6.27E+02,634.7018391,904.4789
0.244026,631.3621,1.20E+06,6.27E+02,634.7415879,904.5121
0.245297,631.3956,1.21E+06,6.27E+02,634.7813367,904.5456
0.246568,631.4294,1.21E+06,6.27E+02,634.8210856,904.5794
0.247839,631.4635,1.21E+06,6.27E+02,634.8608344,904.6135
0.24911,631.498,1.22E+06,6.27E+02,634.9005832,904.648
0.250381,631.5328,1.22E+06,6.27E+02,634.940332,904.6828
0.251652,631.5681,1.23E+06,6.27E+02,634.9800809,904.7181
0.252923,631.6037,1.23E+06,6.27E+02,635.0198297,904.7537
0.254194,631.6396,1.23E+06,6.27E+02,635.0595785,904.7896
0.255465,631.6759,1.24E+06,6.27E+02,635.0993274,904.8259
0.256736,631.7124,1.24E+06,6.27E+02,635.1390762,904.8624
0.258007,631.7492,1.24E+06,6.27E+02,635.178825,904.8992
0.259278,631.7863,1.25E+06,6.27E+02,635.2185739,904.9363
0.260549,631.8237,1.25E+06,6.27E+02,635.2583227,904.9737
0.26182,631.8612,1.25E+06,6.27E+02,635.2980715,905.0112
0.263091,631.899,1.26E+06,6.27E+02,635.3378204,905.049
0.264362,631.937,1.26E+06,6.27E+02,635.3775692,905.087
0.265633,631.9751,1.26E+06,6.27E+02,635.417318,905.1251
0.266904,632.0134,1.27E+06,6.27E+02,635.4570669,905.1634
0.268175,632.0519,1.27E+06,6.27E+02,635.4968157,905.2019
0.269446,632.0905,1.27E+06,6.27E+02,635.5365645,905.2405
0.270717,632.1291,1.28E+06,6.27E+02,635.5763133,905.2791
0.271988,632.1679,1.28E+06,6.27E+02,635.6160622,905.3179
0.273259,632.2067,1.28E+06,6.27E+02,635.655811,905.3567
0.27453,632.2456,1.29E+06,6.27E+02,635.6955598,905.3956
0.275801,632.2845,1.29E+06,6.27E+02,635.7353087,905.4345
0.277072,632.3234,1.29E+06,6.27E+02,635.7750575,905.4734
0.278342,632.3623,1.30E+06,6.27E+02,635.8147751,905.5123
0.279613,632.4012,1.30E+06,6.27E+02,635.8545239,905.5512
0.280884,632.44,1.30E+06,6.27E+02,635.8942727,905.59
0.282155,632.4788,1.31E+06,6.27E+02,635.9340215,905.6288
0.283426,632.5175,1.31E+06,6.27E+02,635.9737704,905.6675
0.284697,632.5561,1.31E+06,6.27E+02,636.0135192,905.7061
0.285968,632.5946,1.32E+06,6.27E+02,636.053268,905.7446
0.287239,632.633,1.32E+06,6.27E+02,636.0930169,905.783
0.28851,632.6712,1.32E+06,6.27E+02,636.1327657,905.8212
0.289781,632.7092,1.33E+06,6.27E+02,636.1725145,905.8592
0.291052,632.7471,1.33E+06,6.27E+02,636.2122634,905.8971
0.292323,632.7848,1.33E+06,6.27E+02,636.2520122,905.9348
0.293594,632.8222,1.34E+06,6.27E+02,636.291761,905.9722
0.294865,632.8596,1.34E+06,6.27E+02,636.3315099,906.0096
0.296136,632.8967,1.34E+06,6.27E+02,636.3712587,906.0467
0.297407,632.9338,1.35E+06,6.27E+02,636.4110075,906.0838
0.298678,632.9707,1.35E+06,6.27E+02,636.4507564,906.1207
0.299949,633.0076,1.35E+06,6.27E+02,636.4905052,906.1576
0.30122,633.0443,1.36E+06,6.27E+02,636.530254,906.1943
0.302491,633.0811,1.36E+06,6.27E+02,636.5700028,906.2311
0.303762,633.1178,1.37E+06,6.27E+02,636.6097517,906.2678
0.305033,633.1544,1.37E+06,6.27E+02,636.6495005,906.3044
0.306304,633.1911,1.37E+06,6.27E+02,636.6892493,906.3411
0.307575,633.2279,1.38E+06,6.27E+02,636.7289982,906.3779
0.308846,633.2646,1.38E+06,6.27E+02,636.768747,906.4146
0.310117,633.3015,1.38E+06,6.27E+02,636.8084958,906.4515
0.311388,633.3384,1.39E+06,6.27E+02,636.8482447,906.4884
0.312659,633.3754,1.39E+06,6.27E+02,636.8879935,906.5254
0.31393,633.4126,1.40E+06,6.27E+02,636.9277423,906.5626
0.315201,633.4499,1.40E+06,6.27E+02,636.9674912,906.5999
0.316472,633.4873,1.40E+06,6.27E+02,637.00724,906.6373
0.317743,633.525,1.41E+06,6.27E+02,637.0469888,906.675
0.319014,633.5629,1.41E+06,6.27E+02,637.0867376,906.7129
0.320284,633.6009,1.41E+06,6.27E+02,637.1264552,906.7509
0.321555,633.6393,1.42E+06,6.27E+02,637.166204,906.7893
0.322826,633.6778,1.42E+06,6.27E+02,637.2059529,906.8278
0.324097,633.7167,1.43E+06,6.27E+02,637.2457017,906.8667
0.325368,633.7559,1.43E+06,6.27E+02,637.2854505,906.9059
0.326639,633.7954,1.43E+06,6.27E+02,637.3251994,906.9454
0.32791,633.8352,1.44E+06,6.27E+02,637.3649482,906.9852
0.329181,633.8754,1.44E+06,6.27E+02,637.404697,907.0254
0.330452,633.916,1.44E+06,6.27E+02,637.4444458,907.066
0.331723,633.9569,1.45E+06,6.27E+02,637.4841947,907.1069
0.332994,633.9983,1.45E+06,6.27E+02,637.5239435,907.1483
0.334265,634.0401,1.45E+06,6.27E+02,637.5636923,907.1901
0.335536,634.0823,1.46E+06,6.27E+02,637.6034412,907.2323
0.336807,634.125,1.46E+06,6.27E+02,637.64319,907.275
0.338078,634.168,1.46E+06,6.27E+02,637.6829388,907.318
0.339349,634.2113,1.47E+06,6.27E+02,637.7226877,907.3613
0.34062,634.255,1.47E+06,6.27E+02,637.7624365,907.405
0.341891,634.299,1.47E+06,6.27E+02,637.8021853,907.449
0.343162,634.3433,1.48E+06,6.27E+02,637.8419342,907.4933
0.344433,634.3878,1.48E+06,6.27E+02,637.881683,907.5378
0.345704,634.4327,1.48E+06,6.27E+02,637.9214318,907.5827
0.346975,634.4777,1.49E+06,6.27E+02,637.9611807,907.6277
0.348246,634.523,1.49E+06,6.27E+02,638.0009295,907.673
0.349517,634.5685,1.49E+06,6.27E+02,638.0406783,907.7185
0.350788,634.6142,1.50E+06,6.27E+02,638.0804271,907.7642
0.352059,634.66,1.50E+06,6.27E+02,638.120176,907.81
0.35333,634.706,1.50E+06,6.27E+02,638.1599248,907.856
0.354601,634.7522,1.50E+06,6.27E+02,638.1996736,907.9022
0.355872,634.7984,1.51E+06,6.27E+02,638.2394225,907.9484
0.357143,634.8447,1.51E+06,6.27E+02,638.2791713,907.9947
0.358414,634.8911,1.51E+06,6.27E+02,638.3189201,908.0411
0.359685,634.9375,1.52E+06,6.27E+02,638.358669,908.0875
0.360956,634.984,1.52E+06,6.27E+02,638.3984178,908.134
0.362227,635.0304,1.52E+06,6.27E+02,638.4381666,908.1804
0.363497,635.0769,1.52E+06,6.27E+02,638.4778842,908.2269
0.364768,635.1233,1.53E+06,6.27E+02,638.517633,908.2733
0.366039,635.1697,1.53E+06,6.27E+02,638.5573818,908.3197
0.36731,635.2161,1.53E+06,6.27E+02,638.5971307,908.3661
0.368581,635.2623,1.54E+06,6.27E+02,638.6368795,908.4123
0.369852,635.3085,1.54E+06,6.27E+02,638.6766283,908.4585
0.371123,635.3545,1.54E+06,6.27E+02,638.7163772,908.5045
0.372394,635.4004,1.55E+06,6.27E+02,638.756126,908.5504
0.373665,635.4461,1.55E+06,6.27E+02,638.7958748,908.5961
0.374936,635.4917,1.55E+06,6.27E+02,638.8356237,908.6417
0.376207,635.5371,1.55E+06,6.27E+02,638.8753725,908.6871
0.377478,635.5823,1.56E+06,6.27E+02,638.9151213,908.7323
0.378749,635.6274,1.56E+06,6.27E+02,638.9548702,908.7774
0.38002,635.6723,1.56E+06,6.27E+02,638.994619,908.8223
0.381291,635.7171,1.57E+06,6.27E+02,639.0343678,908.8671
0.382562,635.7617,1.57E+06,6.27E+02,639.0741166,908.9117
0.383833,635.8063,1.57E+06,6.27E+02,639.1138655,908.9563
0.385104,635.8508,1.58E+06,6.27E+02,639.1536143,909.0008
0.386375,635.8952,1.58E+06,6.27E+02,639.1933631,909.0452
0.387646,635.9396,1.58E+06,6.27E+02,639.233112,909.0896
0.388917,635.9839,1.59E+06,6.27E+02,639.2728608,909.1339
0.390188,636.0282,1.59E+06,6.27E+02,639.3126096,909.1782
0.391459,636.0725,1.59E+06,6.27E+02,639.3523585,909.2225
0.39273,636.1168,1.59E+06,6.27E+02,639.3921073,909.2668
0.394001,636.161,1.60E+06,6.27E+02,639.4318561,909.311
0.395272,636.2054,1.60E+06,6.27E+02,639.471605,909.3554
0.396543,636.2497,1.60E+06,6.27E+02,639.5113538,909.3997
0.397814,636.2941,1.61E+06,6.27E+02,639.5511026,909.4441
0.399085,636.3385,1.61E+06,6.27E+02,639.5908514,909.4885
0.400356,636.3831,1.61E+06,6.27E+02,639.6306003,909.5331
0.401627,636.4277,1.62E+06,6.27E+02,639.6703491,909.5777
0.402898,636.4724,1.62E+06,6.27E+02,639.7100979,909.6224
0.404169,636.5173,1.62E+06,6.27E+02,639.7498468,909.6673
0.405439,636.5623,1.63E+06,6.27E+02,639.7895643,909.7123
0.40671,636.6074,1.63E+06,6.27E+02,639.8293132,909.7574
0.407981,636.6527,1.63E+06,6.27E+02,639.869062,909.8027
0.409252,636.6981,1.63E+06,6.27E+02,639.9088108,909.8481
0.410523,636.7438,1.64E+06,6.27E+02,639.9485597,909.8938
0.411794,636.7896,1.64E+06,6.27E+02,639.9883085,909.9396
0.413065,636.8357,1.64E+06,6.27E+02,640.0280573,909.9857
0.414336,636.882,1.65E+06,6.27E+02,640.0678061,910.032
0.415607,636.9285,1.65E+06,6.27E+02,640.107555,910.0785
0.416878,636.9753,1.65E+06,6.27E+02,640.1473038,910.1253
0.418149,637.0223,1.66E+06,6.27E+02,640.1870526,910.1723
0.41942,637.0696,1.66E+06,6.27E+02,640.2268015,910.2196
0.420691,637.1171,1.66E+06,6.27E+02,640.2665503,910.2671
0.421962,637.1648,1.66E+06,6.27E+02,640.3062991,910.3148
0.423233,637.2127,1.67E+06,6.27E+02,640.346048,910.3627
0.424504,637.2608,1.67E+06,6.27E+02,640.3857968,910.4108
0.425775,637.3091,1.67E+06,6.27E+02,640.4255456,910.4591
0.427046,637.3576,1.67E+06,6.27E+02,640.4652945,910.5076
0.428317,637.4062,1.68E+06,6.27E+02,640.5050433,910.5562
0.429588,637.455,1.68E+06,6.27E+02,640.5447921,910.605
0.430859,637.5039,1.68E+06,6.27E+02,640.5845409,910.6539
0.43213,637.5529,1.69E+06,6.27E+02,640.6242898,910.7029
0.433401,637.602,1.69E+06,6.27E+02,640.6640386,910.752
0.434672,637.6512,1.69E+06,6.27E+02,640.7037874,910.8012
0.435943,637.7005,1.69E+06,6.27E+02,640.7435363,910.8505
0.437214,637.7499,1.70E+06,6.27E+02,640.7832851,910.8999
0.438485,637.7994,1.70E+06,6.27E+02,640.8230339,910.9494
0.439756,637.8489,1.70E+06,6.27E+02,640.8627828,910.9989
0.441027,637.8984,1.70E+06,6.27E+02,640.9025316,911.0484
0.442298,637.948,1.71E+06,6.27E+02,640.9422804,911.098
0.443569,637.9976,1.71E+06,6.27E+02,640.9820293,911.1476
0.44484,638.0472,1.71E+06,6.27E+02,641.0217781,911.1972
0.446111,638.0968,1.72E+06,6.27E+02,641.0615269,911.2468
0.447382,638.1464,1.72E+06,6.27E+02,641.1012757,911.2964
0.448652,638.196,1.72E+06,6.27E+02,641.1409933,911.346
0.449923,638.2455,1.72E+06,6.27E+02,641.1807421,911.3955
0.451194,638.295,1.73E+06,6.27E+02,641.220491,911.445
0.452465,638.3444,1.73E+06,6.27E+02,641.2602398,911.4944
0.453736,638.3937,1.73E+06,6.27E+02,641.2999886,911.5437
0.455007,638.4429,1.73E+06,6.27E+02,641.3397375,911.5929
0.456278,638.4921,1.74E+06,6.27E+02,641.3794863,911.6421
0.457549,638.5411,1.74E+06,6.27E+02,641.4192351,911.6911
0.45882,638.5901,1.74E+06,6.27E+02,641.458984,911.7401
0.460091,638.6389,1.75E+06,6.27E+02,641.4987328,911.7889
0.461362,638.6876,1.75E+06,6.27E+02,641.5384816,911.8376
0.462633,638.7362,1.75E+06,6.27E+02,641.5782304,911.8862
0.463904,638.7848,1.75E+06,6.27E+02,641.6179793,911.9348
0.465175,638.8333,1.76E+06,6.27E+02,641.6577281,911.9833
0.466446,638.8818,1.76E+06,6.27E+02,641.6974769,912.0318
0.467717,638.9302,1.76E+06,6.27E+02,641.7372258,912.0802
0.468988,638.9786,1.77E+06,6.27E+02,641.7769746,912.1286
0.470259,639.027,1.77E+06,6.27E+02,641.8167234,912.177
0.47153,639.0754,1.77E+06,6.27E+02,641.8564723,912.2254
0.472801,639.1238,1.77E+06,6.27E+02,641.8962211,912.2738
0.474072,639.1723,1.78E+06,6.27E+02,641.9359699,912.3223
0.475343,639.2207,1.78E+06,6.27E+02,641.9757188,912.3707
0.476614,639.2693,1.78E+06,6.27E+02,642.0154676,912.4193
0.477885,639.3179,1.79E+06,6.27E+02,642.0552164,912.4679
0.479156,639.3665,1.79E+06,6.27E+02,642.0949652,912.5165
0.480427,639.4153,1.79E+06,6.27E+02,642.1347141,912.5653
0.481698,639.4642,1.79E+06,6.27E+02,642.1744629,912.6142
0.482969,639.5131,1.80E+06,6.27E+02,642.2142117,912.6631
0.48424,639.5622,1.80E+06,6.27E+02,642.2539606,912.7122
0.485511,639.6114,1.80E+06,6.27E+02,642.2937094,912.7614
0.486782,639.6608,1.80E+06,6.27E+02,642.3334582,912.8108
0.488053,639.7104,1.81E+06,6.27E+02,642.3732071,912.8604
0.489324,639.7601,1.81E+06,6.27E+02,642.4129559,912.9101
0.490594,639.81,1.81E+06,6.27E+02,642.4526735,912.96
0.491865,639.8601,1.82E+06,6.27E+02,642.4924223,913.0101
0.493136,639.9104,1.82E+06,6.27E+02,642.5321711,913.0604
0.494407,639.9609,1.82E+06,6.27E+02,642.5719199,913.1109
0.495678,640.0117,1.82E+06,6.27E+02,642.6116688,913.1617
0.496949,640.0627,1.83E+06,6.27E+02,642.6514176,913.2127
0.49822,640.114,1.83E+06,6.27E+02,642.6911664,913.264
0.499491,640.1655,1.83E+06,6.27E+02,642.7309153,913.3155
0.500762,640.2173,1.83E+06,6.27E+02,642.7706641,913.3673
0.502033,640.2694,1.84E+06,6.27E+02,642.8104129,913.4194
0.503304,640.3217,1.84E+06,6.27E+02,642.8501618,913.4717
0.504575,640.3743,1.84E+06,6.27E+02,642.8899106,913.5243
0.505846,640.4271,1.84E+06,6.27E+02,642.9296594,913.5771
0.507117,640.4801,1.84E+06,6.27E+02,642.9694083,913.6301
0.508388,640.5333,1.85E+06,6.27E+02,643.0091571,913.6833
0.509659,640.5867,1.85E+06,6.27E+02,643.0489059,913.7367
