time,fuel_cP,fuel_k,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_heat_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_cP,monolith_k,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power
1,1196.3724225329,35.304004086092,841.02436202527,862.53559393227,814.00269277785,834.58693291278,332923.3541445,840.3853731444,859.9154105604,814.26845767936,1494.5307733719,69.25820057388,838.71573423916,861.38157949549,812.45699542195,345598.50718693
1,1196.3724225327,35.304004086197,841.02436202382,862.53559393031,814.0026927758,834.58693291232,332923.35413712,840.38537314424,859.91541056009,814.26845767884,1494.5307733717,69.258200573886,838.71573423858,861.38157949433,812.45699542187,345598.50626133
1,1196.3724225326,35.304004086258,841.02436202306,862.53559392933,814.00269277461,834.58693291208,332923.35413331,840.38537314415,859.91541055994,814.26845767853,1494.5307733716,69.25820057389,838.71573423826,861.38157949376,812.45699542183,345598.50577565
1,1196.3724225326,35.304004086294,841.02436202265,862.53559392885,814.00269277392,834.58693291195,332923.35413134,840.3853731441,859.91541055987,814.26845767835,1494.5307733715,69.258200573892,838.7157342381,861.38157949347,812.4569954218,345598.50551928
1,1196.3724225325,35.304004086315,841.02436202244,862.53559392862,814.00269277351,834.58693291188,332923.35413031,840.38537314408,859.91541055983,814.26845767825,1494.5307733715,69.258200573893,838.71573423801,861.38157949333,812.45699542178,345598.50538442
1,1196.3724225325,35.304004086327,841.02436202232,862.53559392851,814.00269277327,834.58693291184,332923.35412979,840.38537314407,859.91541055982,814.26845767819,1494.5307733715,69.258200573893,838.71573423797,861.38157949327,812.45699542177,345598.50531261
2,1196.3724175253,35.304005235668,841.02437746048,862.53555539053,814.00253623595,834.5869112634,332922.97364426,840.38540316934,859.91535959239,814.26832288435,1494.5307711601,69.258239408619,838.71570937481,861.38158348057,812.45649949152,345598.14014584
2,1196.3724175125,35.304005236239,841.02437740473,862.53555529972,814.00253622444,834.58691124613,332922.97330894,840.3854031627,859.91535957771,814.26832288128,1494.5307711479,69.258239408652,838.71570935225,861.38158342275,812.45649949109,345598.10338931
2,1196.3724175134,35.30400523626,841.02437740751,862.53555530603,814.00253622401,834.58691124698,332922.97332648,840.38540316303,859.9153595787,814.26832288116,1494.5307711488,69.258239408653,838.71570935339,861.38158342648,812.45649949107,345598.10524415
2,1196.3724175137,35.304005236287,841.02437740816,862.53555530782,814.00253622349,834.58691124717,332922.97333091,840.3854031631,859.91535957897,814.26832288103,1494.530771149,69.258239408654,838.71570935365,861.38158342754,812.45649949105,345598.10568414
